route_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,route_url,agency_id,route_code,line_id,alt_id,long_name,description,pdf_file_url,pdf_file_link,iconography_url,route_code_padded,terminal_1,arterials,terminal_2,description_0,description_1,display_order,travel_direction_0,travel_direction_1,is_active
10-13172,10/48,Metro Local Line,W HOLLYWOOD-DTWN LA -AVALON STA VIA MELROSE-AVALON,bus,E16710,,,LACMTA,10,10,10/48,,Northbound to DTLA-Southbound to Avalon Station ,https://cdn.beta.metro.net/wp-content/uploads/2022/12/10171216/010-048_TT_12-11-22.pdf,https://www.metro.net/line-override/22-12-line-010-048/attachment/010-048_tt_12-11-22/,,10,West Hollywood,"Temple St, Melrose Av",Downtown LA,West Hollywood to Downtown LA,Downtown LA to West Hollywood,2,Eastbound,Westbound,true
10-13172,10/48,Metro Local Line,W HOLLYWOOD-DTWN LA -AVALON STA VIA MELROSE-AVALON,bus,E16710,,,LACMTA,48,48,10/48,,Northbound to DTLA-Southbound to Avalon Station ,https://cdn.beta.metro.net/wp-content/uploads/2022/12/10171216/010-048_TT_12-11-22.pdf,https://www.metro.net/line-override/22-12-line-010-048/attachment/010-048_tt_12-11-22/,,48,Downtown LA,"Main St, South San Pedro St",Avalon Station,Downtown LA to Avalon Station,Avalon Station to Downtown LA,15,Southbound,Northbound,true
102-13172,102,Metro Local Line,LAX CTY BUS CTR - S GATE VIA LA TIJERA-EXPOSITION,bus,E16710,,,LACMTA,102,102,,,LAX City Bus Center - South Gate via La Tijera-Exposition Bl,https://cdn.beta.metro.net/wp-content/uploads/2022/06/24120731/102_TT_06-26-22.pdf,https://www.metro.net/line-override/22-06-line-102/attachment/102_tt_06-26-22/,,102,LAX City Bus Center,"La Tijera Bl, Exposition Bl",South Gate,LAX City Bus Center to South Gate,South Gate to LAX City Bus Center,30,Eastbound,Westbound,true
105-13172,105,Metro Local Line,W HOLLYWOOD - VERNON VIA LA CIENEGA BL,bus,E16710,,,LACMTA,105,105,,,West Hollywood - Vernon via La Cienega Bl-Vernon Av,https://cdn.beta.metro.net/wp-content/uploads/2022/06/24120953/105_TT_06-26-22.pdf,https://www.metro.net/line-override/22-06-line-105/attachment/105_tt_06-26-22/,,105,Vernon,"La Cienega Bl, Vernon Av",West Hollywood,Vernon to West Hollywood,West Hollywood to Vernon,31,Northbound,Southbound,true
106-13172,106,Metro Local Line,MONTEBELLO - MONTEREY PARK VIA 1ST-GARVEY,bus,E16710,,,LACMTA,106,106,,,Monterey Park - Cal State LA - LA Union Station - Little Tokyo - Montebello via Garvey Av & 1st St,https://cdn.beta.metro.net/wp-content/uploads/2022/10/17205530/106_TT_10-23-22.pdf,https://www.metro.net/line-override/22-10-line-106/attachment/106_tt_10-23-22/,,106,Monterey Park,"Garvey Av, 1st Av",Montebello,Monterey Park to Montebello,Montebello to Monterey Park,32,Southbound,Northbound,true
108-13172,108,Metro Local Line,MARINA DEL REY - PICO RIVERA VIA SLAUSON AV,bus,E16710,,,LACMTA,108,108,,,Marina Del Rey - Pico Rivera via Slauson Av,https://cdn.beta.metro.net/wp-content/uploads/2022/12/08174555/108_TT_12-11-22.pdf,https://www.metro.net/line-override/22-12-line-108/attachment/108_tt_12-11-22/,,108,Marina Del Rey,Slauson Av,Pico Rivera,Marina Del Rey to Pico Rivera,Pico Rivera to Marina Del Rey,33,Eastbound,Westbound,true
110-13172,110,Metro Local Line,PLAYA VISTA- BELL GARDENS VIA JEFFERSON BL-GAGE AV,bus,E16710,,,LACMTA,110,110,,,Playa Vista - Bell Gardens via Jefferson Bl-Gage Av,https://cdn.beta.metro.net/wp-content/uploads/2022/12/08174854/110_TT_12-11-22.pdf,https://www.metro.net/line-override/22-12-line-110/attachment/110_tt_12-11-22/,,110,Playa Vista,"Jefferson Bl, Gage Av",Bell Gardens,Playa Vista to Bell Gardens,Bell Gardens to Playa Vista,34,Eastbound,Westbound,true
111-13172,111,Metro Local Line,LAX CITY BUS CTR - NORWALK STA VIA FLORENCE AV,bus,E16710,,,LACMTA,111,111,,,LAX City Bus Center - Norwalk Station via Florence Av,https://cdn.beta.metro.net/wp-content/uploads/2022/12/08175010/111_TT_12-11-22.pdf,https://www.metro.net/line-override/22-12-line-111/attachment/111_tt_12-11-22/,,111,LAX City Bus Center,Florence Av,Norwalk Station,LAX City Bus Center to Norwalk Station,Norwalk Station to LAX City Bus Center,35,Eastbound,Westbound,true
115-13172,115,Metro Local Line,PLAYA DEL REY - NORWALK VIA MANCHESTER - FIRESTONE,bus,E16710,,,LACMTA,115,115,,,Playa Del Rey - Norwalk via Manchester Av - Firestone Bl,https://cdn.beta.metro.net/wp-content/uploads/2022/12/08175151/115_TT_12-11-22.pdf,https://www.metro.net/line-override/22-12-line-115/attachment/115_tt_12-11-22/,,115,Playa Del Rey,"Manchester Av, Firestone Bl",Norwalk,Playa Del Rey to Norwalk,Norwalk to Playa Del Rey,36,Eastbound,Westbound,true
117-13172,117,Metro Local Line,LAX CTY BUS CTR-DOWNEY VIA CENTURY BL-IMPERIAL HWY,bus,E16710,,,LACMTA,117,117,,,LAX City Bus Center - Downey via Century Bl-Imperial Hwy,https://cdn.beta.metro.net/wp-content/uploads/2022/12/08175328/117_TT_12-11-22.pdf,https://www.metro.net/line-override/22-12-line-117/attachment/117_tt_12-11-22/,,117,LAX City Bus Center,"Century Bl, Imperial Hwy",Downey,LAX City Bus Center to Downey,Downey to LAX City Bus Center,37,Eastbound,Westbound,true
120-13172,120,Metro Local Line,AVIATION/LAX STA- WHITTWOOD CTR  VIA IMPERIAL HWY,bus,E16710,,,LACMTA,120,120,,,Aviation/LAX Station - Whittwood Center via Imperial Hwy,https://cdn.beta.metro.net/wp-content/uploads/2022/12/08175501/120_TT_12-11-22.pdf,https://www.metro.net/line-override/22-12-line-120/attachment/120_tt_12-11-22/,,120,Aviation/LAX Station,Imperial Hwy,Whittwood Center,Aviation/LAX Station to Whittwood Center,Whittwood Center to Aviation/LAX Station,38,Eastbound,Westbound,true
125-13172,125,Metro Local Line,EL SEGUNDO - NORWALK STATION VIA ROSECRANS AV,bus,E16710,,,LACMTA,125,125,,,El Segundo - Norwalk Station via Rosecrans Av,https://cdn.beta.metro.net/wp-content/uploads/2022/12/08175647/125_TT_12-11-22.pdf,https://www.metro.net/line-override/22-12-line-125/attachment/125_tt_12-11-22/,,125,El Segundo,Rosecrans Av,Norwalk Station,El Segundo to Norwalk Station,Norwalk Station to El Segundo,39,Eastbound,Westbound,true
127-13172,127,Metro Local Line,HARBOR FWY STA - DOWNEY VIA COMPTON - SOMERSET BLS,bus,E16710,,,LACMTA,127,127,,,Harbor Freeway Station - Comption Station - Downey via Compton Bl-Broadway,https://cdn.beta.metro.net/wp-content/uploads/2022/12/08175802/127_TT_12-11-22.pdf,https://www.metro.net/line-override/22-12-line-127/attachment/127_tt_12-11-22/,,127,Harbor Freeway Station,"Compton Bl, Broadway",Downey,Harbor Freeway Station to Downey,Downey to Harbor Freeway Station,40,Eastbound,Westbound,true
128-13172,128,Metro Local Line,COMPTON STA - CERRITOS TOWNE CENTER VIA ALONDRA BL,bus,E16710,,,LACMTA,128,128,,,Compton Station - Cerritos Towne Center via Alondra Bl,https://cdn.beta.metro.net/wp-content/uploads/2022/06/24124417/128_TT_06-26-22.pdf,https://www.metro.net/line-override/22-06-line-128/attachment/128_tt_06-26-22/,,128,Compton Station,Alondra Bl,Cerritos Towne Center,Compton Station to Cerritos Towne Center,Cerritos Towne Center to Compton Station,41,Eastbound,Westbound,true
134-13172,134,Metro Local Line,MALIBU - SANTA MONICA,bus,E16710,,,LACMTA,134,134,,,Eastbound-Downtown Santa Monica Station-Westbound to Malibu ,https://cdn.beta.metro.net/wp-content/uploads/2022/12/08175932/134_TT_12-11-22.pdf,https://www.metro.net/line-override/22-12-line-134/attachment/134_tt_12-11-22/,,134,Downtown Santa Monica Station,Pacific Coast Hwy,Malibu,Downtown Santa Monica Station to Malibu,Malibu to Downtown Santa Monica Station,42,Southbound,Northbound,true
14-13172,14/37,Metro Local Line,CEDAR SINAI-DTWN LA-WASH/FAIRFAX VIA BEVERLY-ADAMS,bus,E16710,,,LACMTA,14,14,14/37,,Eastbound to DTLA-Westbound to Cedars-Sinai,https://cdn.beta.metro.net/wp-content/uploads/2022/12/10171411/014-037_TT_12-11-22.pdf,https://www.metro.net/line-override/22-12-line-014-037/attachment/014-037_tt_12-11-22/,,14,Cedars Sinai Medical Center,Beverly Bl,Downtown LA,Cedars Sinai Medical Center to Downtown LA,Downtown LA to Cedars Sinai Medical Center,3,Eastbound,Westbound,true
14-13172,14/37,Metro Local Line,CEDAR SINAI-DTWN LA-WASH/FAIRFAX VIA BEVERLY-ADAMS,bus,E16710,,,LACMTA,37,37,14/37,,Eastbound to DTLA-Westbound to Cedars-Sinai,https://cdn.beta.metro.net/wp-content/uploads/2022/12/10171411/014-037_TT_12-11-22.pdf,https://www.metro.net/line-override/22-12-line-014-037/attachment/014-037_tt_12-11-22/,,37,Downtown LA,Adams Bl,Washington/Fairfax,Downtown LA to Washington/Fairfax,Washington/Fairfax to Downtown LA,11,Westbound,Eastbound,true
150-13172,150,Metro Local Line,CHATSWORTH STA - ENCINO VIA TOPANGA CYN-VENTURA BL,bus,E16710,,,LACMTA,150,150,,,Chatsworth - Canoga Park - Tarzana via Topanga Canyon Bl-Ventura Bl,https://cdn.beta.metro.net/wp-content/uploads/2022/12/08180046/150_TT_12-11-22.pdf,https://www.metro.net/line-override/22-12-line-150/attachment/150_tt_12-11-22/,,150,Chatsworth,"Topanga Canyon Bl, Ventura Bl",Encino,Chatsworth to Encino,Encino to Chatsworth,43,Eastbound,Westbound,true
152-13172,152,Metro Local Line,CANOGA PARK - N HOLLYWOOD STA VIA ROSCOE BL,bus,E16710,,,LACMTA,152,152,,,West Hills Medical Center - North Hollywood Station via Roscoe Bl,https://cdn.beta.metro.net/wp-content/uploads/2022/12/08180203/152_TT_12-11-22.pdf,https://www.metro.net/line-override/22-12-line-152/attachment/152_tt_12-11-22/,,152,West Hills Medical Center,Roscoe Bl,North Hollywood Station,West Hills Medical Center to North Hollywood Station,North Hollywood Station to West Hills Medical Center,44,Eastbound,Westbound,true
154-13172,154,Metro Local Line,VAN NUYS - BURBANK STA VIA OXNARD ST,bus,E16710,,,LACMTA,154,154,,,Sepulveda Bl - Burbank Station via Oxnard St-Burbank Bl,https://cdn.beta.metro.net/wp-content/uploads/2022/06/24124708/154_TT_06-26-22.pdf,https://www.metro.net/line-override/22-06-line-154/attachment/154_tt_06-26-22/,,154,Van Nuys,"Oxnard St, Burbank Bl",Burbank Station,Van Nuys to Burbank Station,Burbank Station to Van Nuys,45,Eastbound,Westbound,true
155-13172,155,Metro Local Line,N. HOLLYWOOD STA- BURBANK STA VIA RIVERSIDE-OLIVE,bus,E16710,,,LACMTA,155,155,,,Sherman Oaks - Burbank Station via Riverside Dr-Olive St,https://cdn.beta.metro.net/wp-content/uploads/2022/06/24124837/155_TT_06-26-22.pdf,https://www.metro.net/line-override/22-06-line-155/attachment/155_tt_06-26-22/,,155,Burbank Station,"Riverside Dr, Olive St",North Hollywood Station,Burbank Station to North Hollywood Station,North Hollywood Station to Burbank Station,46,Northbound,Southbound,true
