runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_20661_b_27875_d_31,133564,1,1,t_1277889_b_27875_tn_1,2619784,t_1277889_b_27875_tn_17,2619784
1000000,c_20661_b_27875_d_32,133568,10,1,t_1277885_b_27875_tn_1,2619792,t_1277885_b_27875_tn_9,2619792
1100000,c_20661_b_27875_d_32,133569,11,1,t_1277884_b_27875_tn_1,2619792,t_1277884_b_27875_tn_8,2619792
200000,c_20661_b_27875_d_31,133565,2,1,t_1277888_b_27875_tn_1,2619784,t_1277888_b_27875_tn_16,2619784
300000,c_20661_b_27875_d_31,133566,3,1,t_1277923_b_27875_tn_1,2619869,t_1277932_b_27875_tn_5,2619869
400000,c_20661_b_27875_d_31,133567,4,1,t_1277924_b_27875_tn_1,2619869,t_1277930_b_27875_tn_4,2619799
500000,c_20661_b_27875_d_31,133568,5,1,t_1277887_b_27875_tn_1,2619792,t_1277887_b_27875_tn_17,2619792
600000,c_20661_b_27875_d_31,133569,6,1,t_1277886_b_27875_tn_1,2619792,t_1277886_b_27875_tn_16,2619792
700000,c_20661_b_27875_d_31,133570,7,1,t_1277925_b_27875_tn_1,2619869,t_1277931_b_27875_tn_4,2619869
800000,c_20661_b_27875_d_32,133564,8,1,t_1277891_b_27875_tn_1,2619784,t_1277891_b_27875_tn_9,2619784
900000,c_20661_b_27875_d_32,133565,9,1,t_1277890_b_27875_tn_1,2619784,t_1277890_b_27875_tn_8,2619784
