shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_914838,34.107476,-118.032654,1,0
p_914838,34.107561,-118.033191,2,50.43714821
p_914838,34.107579,-118.033301,3,60.78117489
p_914838,34.107633,-118.033643,4,92.90034874
p_914838,34.107654,-118.033758,5,103.76386004
p_914838,34.107683,-118.033912,6,118.33271473
p_914838,34.107732,-118.034175,7,143.20046329
p_914838,34.10774,-118.034258,8,150.90994822
p_914838,34.107763,-118.034475,9,171.0939871
p_914838,34.107772,-118.034851,10,205.80109941
p_914838,34.107768,-118.034952,11,215.13071933
p_914838,34.107758,-118.035463,12,262.29269379
p_914838,34.107753,-118.035719,13,285.91980434
p_914838,34.107738,-118.036372,14,346.19376512
p_914838,34.107736,-118.036493,15,357.36039577
p_914838,34.107732,-118.036704,16,376.83399754
p_914838,34.107719,-118.037451,17,445.77327786
p_914838,34.107712,-118.037811,18,478.99883652
p_914838,34.107709,-118.037976,19,494.22669594
p_914838,34.107704,-118.038267,20,521.08241802
p_914838,34.107765,-118.038391,21,534.37473624
p_914838,34.107761,-118.03871,22,563.81155985
p_914838,34.107759,-118.03891,23,582.26648616
p_914838,34.107754,-118.039322,24,620.28493465
p_914838,34.10775,-118.039647,25,650.27530818
p_914838,34.107733,-118.040857,26,761.93549319
p_914838,34.107726,-118.041151,27,789.07339486
p_914838,34.107708,-118.042344,28,899.16723858
p_914838,34.107704,-118.042604,29,923.16102732
p_914838,34.107695,-118.043772,30,1030.93471004
p_914838,34.107694,-118.04406,31,1057.50813571
p_914838,34.107693,-118.045101,32,1153.55922561
p_914838,34.107693,-118.045498,33,1190.18963626
p_914838,34.108046,-118.045504,34,1229.34984018
p_914838,34.108873,-118.045518,35,1321.09336902
p_914838,34.110132,-118.045535,36,1460.75595324
p_914838,34.111425,-118.04556,37,1604.1997343
p_914838,34.112516,-118.045578,38,1725.22966034
p_914838,34.11357,-118.045603,39,1842.16675933
p_914838,34.11513,-118.045638,40,2015.23903284
p_914838,34.115397,-118.045646,41,2044.8650616
p_914838,34.116074,-118.045666,42,2119.983599
p_914838,34.116233,-118.045671,43,2137.62662376
p_914838,34.116698,-118.045659,44,2189.21839221
p_914838,34.117153,-118.045666,45,2239.69317117
p_914838,34.117426,-118.04567,46,2269.97780986
p_914838,34.118305,-118.04571,47,2367.5502699
p_914838,34.118548,-118.045713,48,2394.50635082
p_914838,34.119426,-118.045726,49,2491.90547854
p_914838,34.119503,-118.045726,50,2500.44666856
p_914838,34.12056,-118.045732,51,2617.69523075
p_914838,34.121546,-118.045753,52,2727.08401788
p_914838,34.122256,-118.045767,53,2805.85106591
p_914838,34.122492,-118.045771,54,2832.03187175
p_914838,34.122461,-118.050437,55,3262.49336718
p_914838,34.122446,-118.051225,56,3335.20699005
p_914838,34.122429,-118.05204,57,3410.41603615
p_914838,34.122414,-118.052741,58,3475.10612072
p_914838,34.122405,-118.053565,59,3551.12837133
p_914838,34.122405,-118.053814,60,3574.09913486
p_914838,34.122402,-118.054153,61,3605.37435499
p_914838,34.1224,-118.054306,62,3619.49066457
p_914838,34.122398,-118.054485,63,3636.00527507
p_914838,34.122398,-118.054521,64,3639.32634959
p_914838,34.122394,-118.054864,65,3670.971921
p_914838,34.122393,-118.054961,66,3679.92105974
