shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_1425896,33.858559,-118.076931,1,0
p_1425896,33.858555,-118.077302,2,34.33432632
p_1425896,33.858552,-118.077627,3,64.41089707
p_1425896,33.858543,-118.078545,4,149.3663132
p_1425896,33.858491,-118.078628,5,158.97151508
p_1425896,33.858488,-118.078699,6,165.55011298
p_1425896,33.858483,-118.079054,7,198.40567897
p_1425896,33.858482,-118.079149,8,207.19746087
p_1425896,33.85848,-118.079283,9,219.59949806
p_1425896,33.858479,-118.07938,10,228.57634126
p_1425896,33.858477,-118.079618,11,250.60143393
p_1425896,33.858475,-118.080181,12,302.70063926
p_1425896,33.858473,-118.080896,13,368.86547827
p_1425896,33.85847,-118.081027,14,380.99248569
p_1425896,33.858465,-118.08142,15,417.36403948
p_1425896,33.858465,-118.081512,16,425.87751027
p_1425896,33.858464,-118.08195,17,466.40918625
p_1425896,33.858464,-118.082136,18,483.62120348
p_1425896,33.858513,-118.082334,19,502.73278946
p_1425896,33.858511,-118.082762,20,542.33953574
p_1425896,33.858507,-118.083375,21,599.06686775
p_1425896,33.858505,-118.084,22,656.90334428
p_1425896,33.858504,-118.084171,23,672.72767688
p_1425896,33.858504,-118.084492,24,702.4322734
p_1425896,33.858503,-118.084619,25,714.18508275
p_1425896,33.858503,-118.084744,26,725.75229337
p_1425896,33.8585,-118.085225,27,770.26416445
p_1425896,33.8585,-118.085287,28,776.00150112
p_1425896,33.858498,-118.085629,29,807.65016835
p_1425896,33.858496,-118.08587,30,829.95285531
p_1425896,33.858494,-118.086319,31,871.50287195
p_1425896,33.858493,-118.086463,32,884.82876169
p_1425896,33.858493,-118.086511,33,889.27057109
p_1425896,33.858492,-118.086621,34,899.450322
p_1425896,33.858491,-118.086748,35,911.20313299
p_1425896,33.858487,-118.087518,36,982.45854336
p_1425896,33.858484,-118.087978,37,1025.02718774
p_1425896,33.85848,-118.08861,38,1083.51270188
p_1425896,33.858478,-118.089024,39,1121.82395645
p_1425896,33.858484,-118.089155,40,1133.96465096
p_1425896,33.858502,-118.089503,41,1166.22960185
p_1425896,33.858496,-118.090268,42,1237.0240624
p_1425896,33.858495,-118.090389,43,1248.22167264
p_1425896,33.858495,-118.090461,44,1254.88438658
p_1425896,33.858493,-118.090656,45,1272.93060062
p_1425896,33.858492,-118.090698,46,1276.81876632
p_1425896,33.858491,-118.090777,47,1284.13008584
p_1425896,33.858594,-118.09078,48,1295.55820109
p_1425896,33.859204,-118.090797,49,1363.23758882
p_1425896,33.859524,-118.090806,50,1398.74170962
p_1425896,33.86032,-118.090811,51,1487.03512921
p_1425896,33.8605,-118.090812,52,1507.00091974
p_1425896,33.860664,-118.090814,53,1525.19271989
p_1425896,33.860922,-118.090815,54,1553.81019702
p_1425896,33.861316,-118.090818,55,1597.51351142
p_1425896,33.861853,-118.090823,56,1657.07928839
p_1425896,33.861925,-118.090824,57,1665.06605681
p_1425896,33.862089,-118.090826,58,1683.25786114
p_1425896,33.862358,-118.090828,59,1713.09588815
p_1425896,33.862374,-118.090829,60,1714.87301729
p_1425896,33.86287,-118.090839,61,1769.89707235
p_1425896,33.86312,-118.090836,62,1797.62844025
p_1425896,33.863445,-118.09084,63,1833.67931401
p_1425896,33.8636,-118.090842,64,1850.87289813
p_1425896,33.863856,-118.090846,65,1879.27081161
p_1425896,33.864254,-118.090851,66,1923.41936921
p_1425896,33.864702,-118.090855,67,1973.11288097
p_1425896,33.864834,-118.09087,68,1987.81995408
p_1425896,33.864916,-118.090884,69,1997.00717854
p_1425896,33.865109,-118.090915,70,2018.60604939
p_1425896,33.865467,-118.090926,71,2058.3284358
p_1425896,33.865547,-118.090929,72,2067.20637336
p_1425896,33.865684,-118.091021,73,2084.62436901
p_1425896,33.865696,-118.090345,74,2147.18876369
p_1425896,33.865693,-118.089667,75,2209.92493711
p_1425896,33.865697,-118.089327,76,2241.38824074
p_1425896,33.865701,-118.088771,77,2292.83679091
p_1425896,33.865708,-118.088381,78,2328.93181043
p_1425896,33.865715,-118.087631,79,2398.33358576
p_1425896,33.865721,-118.086577,80,2495.86237345
p_1425896,33.865731,-118.085556,81,2590.34190612
p_1425896,33.865732,-118.085487,82,2596.72743181
p_1425896,33.865732,-118.085241,83,2619.48978405
p_1425896,33.865734,-118.084385,84,2698.69567719
