stop_id,stop_city
2628939,Baldwin Park
2628792,Baldwin Park
2628798,Baldwin Park
2628870,Baldwin Park
2729400,Baldwin Park
2729393,Baldwin Park
2628964,Baldwin Park
2628871,Baldwin Park
2628965,Baldwin Park
2628799,Baldwin Park
2628929,Baldwin Park
2628959,Baldwin Park
2628947,Baldwin Park
2628896,Baldwin Park
2628843,Baldwin Park
2628883,Baldwin Park
2628955,Baldwin Park
2628918,Baldwin Park
2628776,Baldwin Park
2628898,Baldwin Park
2628882,Baldwin Park
2729392,Baldwin Park
2628846,Baldwin Park
2628869,Baldwin Park
2628852,Baldwin Park
2628970,Baldwin Park
2628890,Baldwin Park
2628905,Baldwin Park
2628797,Irwindale
2628859,Baldwin Park
2628946,Baldwin Park
2628893,Baldwin Park
2628912,Baldwin Park
2628897,Baldwin Park
2628850,Baldwin Park
2628790,Baldwin Park
2628968,Baldwin Park
2628783,Baldwin Park
2628856,Baldwin Park
2628791,Baldwin Park
2628900,Baldwin Park
2628921,Baldwin Park
2628868,Baldwin Park
2628865,Irwindale
2628972,Baldwin Park
2628831,Baldwin Park
2628875,Baldwin Park
2628853,Baldwin Park
2628775,Baldwin Park
2628851,Baldwin Park
2628863,Baldwin Park
2628927,Baldwin Park
2628877,Baldwin Park
2628954,Baldwin Park
2628913,Baldwin Park
2628967,Baldwin Park
2729396,Baldwin Park
2628923,Baldwin Park
2628779,Baldwin Park
2729395,Baldwin Park
2628961,Baldwin Park
2628922,Baldwin Park
2628849,Baldwin Park
2628788,Baldwin Park
2628938,Baldwin Park
2628895,Baldwin Park
2628887,Baldwin Park
2628867,Irwindale
2628780,Baldwin Park
2628889,Baldwin Park
2628904,Baldwin Park
2628924,Baldwin Park
2628917,Baldwin Park
2628963,Baldwin Park
2628935,Baldwin Park
2628908,Baldwin Park
2628919,Baldwin Park
2628800,Baldwin Park
2628931,Baldwin Park
2628925,Baldwin Park
2628862,Baldwin Park
2628793,Baldwin Park
2628952,Baldwin Park
2628847,Baldwin Park
2628942,Baldwin Park
2628899,Irwindale
2628801,Baldwin Park
2628933,Baldwin Park
2628844,Baldwin Park
2628864,Irwindale
2628914,Baldwin Park
2729398,Baldwin Park
2628962,Baldwin Park
2628879,Baldwin Park
2628958,Baldwin Park
2628930,Baldwin Park
2628885,Baldwin Park
2628876,Baldwin Park
2628888,Baldwin Park
2628861,Baldwin Park
2628880,Baldwin Park
2628866,Irwindale
2729399,Baldwin Park
2628934,Baldwin Park
2628860,Baldwin Park
2628907,Baldwin Park
2628884,Baldwin Park
2628886,Baldwin Park
2628960,Baldwin Park
2628932,Baldwin Park
2729394,Baldwin Park
2628854,Baldwin Park
2628787,Baldwin Park
2628872,Baldwin Park
2628920,Baldwin Park
2628796,Irwindale
2628956,Baldwin Park
2628916,Baldwin Park
2729397,Baldwin Park
2628926,Baldwin Park
2628789,Baldwin Park
2628786,Baldwin Park
2628795,Irwindale
2628953,Baldwin Park
2628874,Baldwin Park
2628894,Baldwin Park
2628936,Baldwin Park
2628957,Baldwin Park
2628901,Irwindale
2628915,Baldwin Park
2629025,Baldwin Park
2628966,Baldwin Park
2628794,Baldwin Park
2628892,Baldwin Park
2628928,Baldwin Park
2628781,Baldwin Park
2628881,Baldwin Park
2628777,Baldwin Park
2628873,Baldwin Park
2628969,Baldwin Park
2628857,Baldwin Park
2628891,Baldwin Park
2628937,Baldwin Park
2628878,Baldwin Park
2628833,Baldwin Park
2628858,Baldwin Park
