trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,min_arrival_time,max_departure_time,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset
t_1280417_b_28090_tn_1,07:00:00,07:00:00,2622517,1,,0,0,0,1,,,,,1,1,,,,,,,,
t_1280417_b_28090_tn_1,,,2622518,2,,0,0,314.354486245572,0,,,,,1,1,,,,,,,,
t_1280417_b_28090_tn_1,,,2622519,3,,0,0,540.770477644542,0,,,,,1,1,,,,,,,,
t_1280417_b_28090_tn_1,,,2622520,4,,0,0,745.206579768392,0,,,,,1,1,,,,,,,,
t_1280417_b_28090_tn_1,07:02:00,07:02:00,2623824,5,,0,0,1232.9584787822,1,,,,,1,1,,,,,,,,
t_1280417_b_28090_tn_1,,,2623971,6,,0,0,1475.69149817661,0,,,,,1,1,,,,,,,,
t_1280417_b_28090_tn_1,,,2623972,7,,0,0,2005.89823411404,0,,,,,1,1,,,,,,,,
t_1280417_b_28090_tn_1,,,2623976,8,,0,0,2368.02320474748,0,,,,,1,1,,,,,,,,
t_1280417_b_28090_tn_1,,,2623979,9,,0,0,2822.75257952259,0,,,,,1,1,,,,,,,,
t_1280417_b_28090_tn_1,,,2623978,10,,0,0,3349.20959140263,0,,,,,1,1,,,,,,,,
t_1280417_b_28090_tn_1,07:07:00,07:07:00,2623980,11,,0,0,3624.20996458776,1,,,,,1,1,,,,,,,,
t_1280417_b_28090_tn_1,,,2623982,12,,0,0,4063.66281683508,0,,,,,1,1,,,,,,,,
t_1280417_b_28090_tn_1,,,2623981,13,,0,0,4415.57124823736,0,,,,,1,1,,,,,,,,
t_1280417_b_28090_tn_1,,,2623983,14,,0,0,4944.19739769097,0,,,,,1,1,,,,,,,,
t_1280417_b_28090_tn_1,,,2623984,15,,0,0,5330.47385092936,0,,,,,1,1,,,,,,,,
t_1280417_b_28090_tn_1,,,2623985,16,,0,0,5610.63465725372,0,,,,,1,1,,,,,,,,
t_1280417_b_28090_tn_1,,,2623986,17,,0,0,6132.78446323376,0,,,,,1,1,,,,,,,,
t_1280417_b_28090_tn_1,07:13:00,07:13:00,2623987,18,,0,0,6480.28999666576,1,,,,,1,1,,,,,,,,
t_1280417_b_28090_tn_1,,,2623988,19,,0,0,6994.58035833876,0,,,,,1,1,,,,,,,,
t_1280417_b_28090_tn_1,,,2623991,20,,0,0,8241.84562441196,0,,,,,1,1,,,,,,,,
t_1280417_b_28090_tn_1,,,2623992,21,,0,0,8894.78212497767,0,,,,,1,1,,,,,,,,
t_1280417_b_28090_tn_1,,,2623830,22,,0,0,9410.85348567032,0,,,,,1,1,,,,,,,,
t_1280417_b_28090_tn_1,,,2623831,23,,0,0,9731.58393690224,0,,,,,1,1,,,,,,,,
t_1280417_b_28090_tn_1,07:30:00,07:30:00,2622517,24,,0,0,10152.22125198,1,,,,,1,1,,,,,,,,
t_1280417_b_28090_tn_10,16:00:00,16:00:00,2622517,1,,0,0,0,1,,,,,1,1,,,,,,,,
t_1280417_b_28090_tn_10,,,2622518,2,,0,0,314.354486245572,0,,,,,1,1,,,,,,,,
t_1280417_b_28090_tn_10,,,2622519,3,,0,0,540.770477644542,0,,,,,1,1,,,,,,,,
t_1280417_b_28090_tn_10,,,2622520,4,,0,0,745.206579768392,0,,,,,1,1,,,,,,,,
t_1280417_b_28090_tn_10,16:02:00,16:02:00,2623824,5,,0,0,1232.9584787822,1,,,,,1,1,,,,,,,,
t_1280417_b_28090_tn_10,,,2623971,6,,0,0,1475.69149817661,0,,,,,1,1,,,,,,,,
t_1280417_b_28090_tn_10,,,2623972,7,,0,0,2005.89823411404,0,,,,,1,1,,,,,,,,
t_1280417_b_28090_tn_10,,,2623976,8,,0,0,2368.02320474748,0,,,,,1,1,,,,,,,,
