shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_901552,33.968601,-118.143906,1,0
p_901552,33.968723,-118.143494,2,40.40974702
p_901552,33.968269,-118.142769,3,124.22784167
p_901552,33.969139,-118.142212,4,233.60121127
p_901552,33.969688,-118.141891,5,301.33903897
p_901552,33.96983,-118.141808,6,318.85845149
p_901552,33.970032,-118.141685,7,343.98323135
p_901552,33.969883,-118.141411,8,374.22185432
p_901552,33.969624,-118.140938,9,426.53065169
p_901552,33.969406,-118.140503,10,473.4443822
p_901552,33.969246,-118.140175,11,508.57068836
p_901552,33.969013,-118.139694,12,559.99087462
p_901552,33.968979,-118.139626,13,567.3200829
p_901552,33.968578,-118.138832,14,653.1286753
p_901552,33.968819,-118.138687,15,683.03163872
p_901552,33.97084,-118.137489,16,933.0548462
p_901552,33.971085,-118.137344,17,963.3549542
p_901552,33.971195,-118.137306,18,976.0516895
p_901552,33.971573,-118.137192,19,1019.28351661
p_901552,33.972687,-118.136986,20,1144.30840809
p_901552,33.972729,-118.137337,21,1177.07867392
p_901552,33.9727431936266,-118.137453068696,22,1187.92000576
p_901552,33.9727429805063,-118.137453033654,23,1187.94386626
p_901552,33.972794,-118.137932,24,1232.56748856
p_901552,33.972881,-118.138741,25,1307.95079887
p_901552,33.973026,-118.140106,26,1435.11719599
p_901552,33.973038,-118.140213,27,1445.09467581
p_901552,33.973053,-118.140358,28,1458.59759989
p_901552,33.973083,-118.140663,29,1486.97960026
p_901552,33.973129,-118.14106,30,1524.02102288
p_901552,33.973141,-118.141167,31,1533.99849089
p_901552,33.973164,-118.141373,32,1553.20592619
p_901552,33.973244,-118.142044,33,1615.84728721
p_901552,33.973278,-118.142281,34,1638.07166433
p_901552,33.973331,-118.142799,35,1686.30158357
p_901552,33.973358,-118.143059,36,1710.51505645
p_901552,33.973438,-118.143799,37,1779.47442624
p_901552,33.973488,-118.144295,38,1825.6458324
p_901552,33.97353,-118.144676,39,1861.16222878
p_901552,33.973579,-118.145149,40,1905.21038323
p_901552,33.973637,-118.145287,41,1919.49427714
p_901552,33.973736,-118.146019,42,1988.02630146
p_901552,33.973778,-118.146317,43,2015.95670302
p_901552,33.973824,-118.14666,44,2048.06245285
p_901552,33.973843,-118.146866,45,2067.21585404
p_901552,33.973881,-118.147156,46,2094.34508744
p_901552,33.973961,-118.148041,47,2176.61059436
p_901552,33.973999,-118.148468,48,2216.29540197
p_901552,33.973972,-118.148598,49,2228.67675626
p_901552,33.974091,-118.149834,50,2343.65924745
p_901552,33.974148,-118.150337,51,2390.57089846
p_901552,33.974182,-118.150749,52,2428.83127485
p_901552,33.974197,-118.150894,53,2442.33402088
p_901552,33.97422,-118.151108,54,2462.27421575
p_901552,33.974262,-118.151482,55,2497.14911705
p_901552,33.974274,-118.151566,56,2505.02507021
p_901552,33.974327,-118.1521,57,2554.72233825
p_901552,33.974342,-118.152229,58,2566.7591079
p_901552,33.97435,-118.152298,59,2573.19702312
p_901552,33.974392,-118.152664,60,2607.33934094
p_901552,33.974411,-118.152855,61,2625.1155006
p_901552,33.974442,-118.15313,62,2650.76050219
p_901552,33.974709,-118.155548,63,2876.1675443
p_901552,33.974716,-118.155617,64,2882.59108293
p_901552,33.97472,-118.156288,65,2944.60122074
p_901552,33.974731,-118.156532,66,2967.18277041
p_901552,33.974773,-118.15699,67,3009.76313956
p_901552,33.974808,-118.157318,68,3040.32190796
p_901552,33.974827,-118.157486,69,3055.98952305
p_901552,33.974876,-118.157898,70,3094.44925757
p_901552,33.974899,-118.158104,71,3113.65630973
p_901552,33.975002,-118.159027,72,3199.7142431
p_901552,33.975033,-118.159302,73,3225.35907049
p_901552,33.975063,-118.159607,74,3253.74042216
p_901552,33.97509,-118.159904,75,3281.3496298
p_901552,33.975094,-118.159927,76,3283.52091555
p_901552,33.975311,-118.161949,77,3471.92114115
p_901552,33.975342,-118.162239,78,3498.94017167
p_901552,33.975368,-118.162506,79,3523.78200358
p_901552,33.975426,-118.163033,80,3572.90591706
p_901552,33.975483,-118.163628,81,3628.25298325
p_901552,33.975498,-118.163757,82,3640.28959316
p_901552,33.975235,-118.163795,83,3669.67265998
p_901552,33.974937,-118.163834,84,3702.92329712
p_901552,33.974758,-118.163864,85,3722.97094112
p_901552,33.974285,-118.163933,86,3775.82307211
p_901552,33.973625,-118.164032,87,3849.60099111
p_901552,33.973488,-118.164055,88,3864.9452201
p_901552,33.973148,-118.164101,89,3902.89749748
p_901552,33.972919,-118.164131,90,3928.44946305
p_901552,33.972755,-118.164154,91,3946.76441012
p_901552,33.97224,-118.164215,92,4004.16666357
p_901552,33.971958,-118.164246,93,4035.5775537
p_901552,33.97171,-118.164276,94,4063.22553744
p_901552,33.971573,-118.164299,95,4078.56976834
p_901552,33.97147,-118.164337,96,4090.5222675
p_901552,33.970879,-118.164413,97,4156.45227516
p_901552,33.970383,-118.164474,98,4211.75758358
p_901552,33.969891,-118.164558,99,4266.88050932
p_901552,33.969593,-118.164604,100,4300.20747272
p_901552,33.969166,-118.164665,101,4347.90541907
p_901552,33.969025,-118.164688,102,4363.68918164
p_901552,33.968803,-118.164711,103,4388.40539942
p_901552,33.96862,-118.164742,104,4408.90527859
p_901552,33.967915,-118.164841,105,4487.638589
p_901552,33.967804,-118.164864,106,4500.13305266
p_901552,33.967426,-118.164902,107,4542.20831819
p_901552,33.967102,-118.164932,108,4578.25377197
p_901552,33.966797,-118.16497,109,4612.26671699
p_901552,33.966019,-118.165062,110,4698.98173178
p_901552,33.965782,-118.1651,111,4725.50374939
p_901552,33.964787,-118.16526,112,4836.85715202
p_901552,33.964546,-118.165291,113,4863.74239429
p_901552,33.964218,-118.165337,114,4900.37228753
p_901552,33.963837,-118.165375,115,4942.77915397
p_901552,33.963573,-118.165405,116,4972.19346689
p_901552,33.963398,-118.165428,117,4991.72081955
p_901552,33.963177,-118.165451,118,5016.32651804
p_901552,33.962177,-118.165619,119,5128.32976462
p_901552,33.961182,-118.165756,120,5239.42085271
p_901552,33.960983,-118.165756,121,5261.49426768
p_901552,33.960659,-118.165733,122,5297.49570954
p_901552,33.960453,-118.16568,123,5320.86477345
p_901552,33.959835,-118.165482,124,5391.8151987
p_901552,33.959518,-118.165833,125,5439.65749721
p_901552,33.959404,-118.165955,126,5456.60012372
p_901552,33.959354,-118.166008,127,5463.99988863
