trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset
t_1277951_b_27896_tn_0,06:30:00,06:30:00,2619747,1,Ford Park,0,0,0,1,,,,,1,1,,,,,,,,
t_1277951_b_27896_tn_0,,,2619748,2,Ford Park,0,0,318.858451487863,0,,,,,1,1,,,,,,,,
t_1277951_b_27896_tn_0,,,2619749,3,Ford Park,0,0,683.031638725677,0,,,,,1,1,,,,,,,,
t_1277951_b_27896_tn_0,,,2619750,4,Ford Park,0,0,1187.92000576785,0,,,,,1,1,,,,,,,,
t_1277951_b_27896_tn_0,,,2619751,5,Ford Park,0,0,1524.02102289534,0,,,,,1,1,,,,,,,,
t_1277951_b_27896_tn_0,,,2619752,6,Ford Park,0,0,1861.16222880485,0,,,,,1,1,,,,,,,,
t_1277951_b_27896_tn_0,,,2619753,7,Ford Park,0,0,2015.95670304989,0,,,,,1,1,,,,,,,,
t_1277951_b_27896_tn_0,,,2619754,8,Ford Park,0,0,2343.65924747599,0,,,,,1,1,,,,,,,,
t_1277951_b_27896_tn_0,,,2619755,9,Ford Park,0,0,2625.1155006297,0,,,,,1,1,,,,,,,,
t_1277951_b_27896_tn_0,,,2619756,10,Ford Park,0,0,3040.32190799034,0,,,,,1,1,,,,,,,,
t_1277951_b_27896_tn_0,,,2619757,11,Ford Park,0,0,3283.52091557541,0,,,,,1,1,,,,,,,,
t_1277951_b_27896_tn_0,,,2619758,12,Ford Park,0,0,3669.67266000464,0,,,,,1,1,,,,,,,,
t_1277951_b_27896_tn_0,,,2619759,13,Ford Park,0,0,4063.22553745186,0,,,,,1,1,,,,,,,,
t_1277951_b_27896_tn_0,06:45:00,06:45:00,2619760,14,Ford Park,0,0,4300.20747273184,1,,,,,1,1,,,,,,,,
t_1277951_b_27896_tn_0,,,2619761,15,Ford Park,0,0,4542.20831819855,0,,,,,1,1,,,,,,,,
t_1277951_b_27896_tn_0,,,2619762,16,Ford Park,0,0,4698.98173178362,0,,,,,1,1,,,,,,,,
t_1277951_b_27896_tn_0,,,2619763,17,Ford Park,0,0,4991.72081956077,0,,,,,1,1,,,,,,,,
