stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding,tts_stop_name
2623741,,,Las Virgenes Rd & Parkmor Rd,,34.1534569087817,-118.697414253915,,,0,,America/Los_Angeles,,,0,
2623742,,,Thousand Oaks Blvd (Gates Canyon Park),,34.1601616074771,-118.692576097847,,,0,,America/Los_Angeles,,,0,
2623744,,,Thousand Oaks Boulevard & Parkmor Road,,34.1595019118016,-118.695201670039,,,0,,America/Los_Angeles,,,0,
2623745,,,Thousand Oaks Boulevard & Ruthwood Drive,,34.1608592098793,-118.699747175709,,,0,,America/Los_Angeles,,,0,
2623746,,,Las Virgenes Rd & Thousand Oaks Boulevard (SW),,34.1599311824588,-118.702420367323,,,0,,America/Los_Angeles,,,0,
2623747,,,Las Virgenes Rd & Ventura Fwy Offramp (Shell Station),,34.1448497600418,-118.698142022962,,,0,,America/Los_Angeles,,,0,
2623748,,,Las Virgenes Road- AE Wright Middle School,,34.134027539801,-118.70307793355,,,0,,America/Los_Angeles,,,0,
2623749,,,Meadow Creek Lane & Oleander Court,,34.1298024931916,-118.706571804826,,,0,,America/Los_Angeles,,,0,
2623750,,,Lost Hills Road & Cold Springs Street,,34.1338063705357,-118.707046397435,,,0,,America/Los_Angeles,,,0,
2623751,,,Malibu Hills Road & Agoura Road (Calabasas Community Center),,34.1367824448403,-118.713168810831,,,0,,America/Los_Angeles,,,0,
2623752,,,Lost Hills Road & El Encanto Dr. (Juan Bautista de Anza Park),,34.1267823551685,-118.707281303094,,,0,,America/Los_Angeles,,,0,
2623753,,,Agoura Road & Las Virgenes Road (Metro),,34.144042249181,-118.698702291786,,,0,,America/Los_Angeles,,,0,
2623754,,,Agoura Road & Lost Hills Road (Metro - Summit),,34.1395248875032,-118.708469136878,,,0,,America/Los_Angeles,,,0,
2623755,,,Parkville Road & Grape Arbor Park,,34.1421570107728,-118.711296243047,,,0,,America/Los_Angeles,,,0,
2623756,,,Las Virgenes & Southbound US 101,,34.1458914179567,-118.697806752267,,,0,,America/Los_Angeles,,,0,
