shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_1276801,33.6028311986186,-117.899246237566,1,0
p_1276801,33.6033826699281,-117.897796394062,2,147.81274083
p_1276801,33.5998046684965,-117.882880403117,3,1587.98158433
p_1276801,33.5982143979826,-117.88144846799,4,1808.8346571
p_1276801,33.5878769249074,-117.878226613946,5,2993.77648439
p_1276801,33.585192955304,-117.880016532859,6,3334.70059447
p_1276801,33.3465579260781,-118.320763540795,7,52111.58932142
p_1276801,33.3456939857462,-118.322198147961,8,52275.95222293
p_1276801,33.3453817152466,-118.322390643819,9,52314.94721234
p_1276801,33.3448091117803,-118.322292723129,10,52379.10582822
p_1276801,33.3447617534296,-118.322127804072,11,52395.33151352
p_1276801,33.3447617534296,-118.322050498264,12,52402.5277616
p_1276802,33.3447667724262,-118.322060998279,1,0
p_1276802,33.3448098651546,-118.322294085006,2,22.21774702
p_1276802,33.3453805749528,-118.322415538869,3,86.51728586
p_1276802,33.3456835345774,-118.322205674952,4,125.38499173
p_1276802,33.5850641377398,-117.87974452274,5,49081.19119819
p_1276802,33.5877348509285,-117.878166998717,6,49411.6343138
p_1276802,33.5978788503447,-117.881373759654,7,50575.46536273
p_1276802,33.5994214742988,-117.882365921594,8,50769.77392038
p_1276802,33.6000825904035,-117.883490371794,9,50897.32544206
p_1276802,33.6034431855697,-117.897645215483,10,52262.94219539
p_1276802,33.6028311986186,-117.899246237566,11,52426.30621787
