runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_20679_b_27893_d_31,133892,1,1,t_1277937_b_27893_tn_1,2619890,t_1277937_b_27893_tn_18,2619890
1000000,c_20679_b_27893_d_32,134052,10,1,t_1279803_b_27893_tn_1,2619890,t_1279803_b_27893_tn_6,2619890
200000,c_20679_b_27893_d_31,134049,2,1,t_1279795_b_27893_tn_1,2619890,t_1279795_b_27893_tn_18,2619890
300000,c_20679_b_27893_d_31,134050,3,1,t_1277967_b_27893_tn_1,2619890,t_1277967_b_27893_tn_12,2619890
400000,c_20679_b_27893_d_31,134051,4,1,t_1279818_b_27893_tn_1,2619890,t_1279818_b_27893_tn_18,2619890
500000,c_20679_b_27893_d_31,134052,5,1,t_1279802_b_27893_tn_1,2619890,t_1279802_b_27893_tn_12,2619890
600000,c_20679_b_27893_d_32,133892,6,1,t_1277938_b_27893_tn_1,2619890,t_1277938_b_27893_tn_9,2619890
700000,c_20679_b_27893_d_32,134049,7,1,t_1279796_b_27893_tn_1,2619890,t_1279796_b_27893_tn_9,2619890
800000,c_20679_b_27893_d_32,134050,8,1,t_1279809_b_27893_tn_1,2619890,t_1279809_b_27893_tn_6,2619890
900000,c_20679_b_27893_d_32,134051,9,1,t_1279819_b_27893_tn_1,2619890,t_1279819_b_27893_tn_9,2619890
