trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
1_Loop-wkdy_1_06:00,06:00:00,06:00:00,2619890,1,Centennial High School,0,0,0,1,,,,,1,1,,,,,,,,,,,
1_Loop-wkdy_1_06:00,,,2619891,2,Centennial High School,0,0,309.596880706808,0,,,,,1,1,,,,,,,,,,,
1_Loop-wkdy_1_06:00,,,2619895,3,Centennial High School,0,0,1773.26637698352,0,,,,,1,1,,,,,,,,,,,
1_Loop-wkdy_1_06:00,,,2619897,4,Centennial High School,0,0,1951.56920747913,0,,,,,1,1,,,,,,,,,,,
1_Loop-wkdy_1_06:00,,,2619900,5,Centennial High School,0,0,2171.04626874569,0,,,,,1,1,,,,,,,,,,,
1_Loop-wkdy_1_06:00,,,2619901,6,Centennial High School,0,0,2579.5819278609,0,,,,,1,1,,,,,,,,,,,
1_Loop-wkdy_1_06:00,,,2619902,7,Centennial High School,0,0,2981.24012188993,0,,,,,1,1,,,,,,,,,,,
1_Loop-wkdy_1_06:00,,,2619903,8,Centennial High School,0,0,3300.65121527004,0,,,,,1,1,,,,,,,,,,,
1_Loop-wkdy_1_06:00,06:06:00,06:06:00,2619904,9,Centennial High School,0,0,3749.70979227545,1,,,,,1,1,,,,,,,,,,,
1_Loop-wkdy_1_06:00,,,2619905,10,Centennial High School,0,0,4558.48750428584,0,,,,,1,1,,,,,,,,,,,
1_Loop-wkdy_1_06:00,,,2619906,11,Centennial High School,0,0,4783.63264373145,0,,,,,1,1,,,,,,,,,,,
1_Loop-wkdy_1_06:00,,,2619907,12,Centennial High School,0,0,5114.66790654231,0,,,,,1,1,,,,,,,,,,,
1_Loop-wkdy_1_06:00,06:10:00,06:10:00,2619876,13,Centennial High School,0,0,5374.04940424218,1,,,,,1,1,,,,,,,,,,,
1_Loop-wkdy_1_06:00,,,2619909,14,Centennial High School,0,0,5833.77657464791,0,,,,,1,1,,,,,,,,,,,
1_Loop-wkdy_1_06:00,,,2621551,15,Centennial High School,0,0,6515.30940668534,0,,,,,1,1,,,,,,,,,,,
1_Loop-wkdy_1_06:00,06:15:00,06:15:00,2619877,16,MLK Transit Center,0,0,7356.91286834121,1,,,,,1,1,,,,,,,,,,,
1_Loop-wkdy_1_06:00,,,2621552,17,MLK Transit Center,0,0,7957.52639591983,0,,,,,1,1,,,,,,,,,,,
1_Loop-wkdy_1_06:00,,,2621554,18,MLK Transit Center,0,0,8187.55340147967,0,,,,,1,1,,,,,,,,,,,
1_Loop-wkdy_1_06:00,,,2621555,19,MLK Transit Center,0,0,8402.74511463682,0,,,,,1,1,,,,,,,,,,,
1_Loop-wkdy_1_06:00,06:18:00,06:18:00,2619878,20,MLK Transit Center,0,0,9070.63345197352,1,,,,,1,1,,,,,,,,,,,
1_Loop-wkdy_1_06:00,,,2619879,21,MLK Transit Center,0,0,9622.47495933458,0,,,,,1,1,,,,,,,,,,,
1_Loop-wkdy_1_06:00,,,2619880,22,MLK Transit Center,0,0,9927.48087105022,0,,,,,1,1,,,,,,,,,,,
1_Loop-wkdy_1_06:00,06:21:00,06:21:00,2619882,23,MLK Transit Center,0,0,10306.7267243508,1,,,,,1,1,,,,,,,,,,,
