route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message,tts_trip_headsign,tts_trip_short_name
1,wkdy,1_Loop-wkdy_9_11:20,,,0,133892,p_901549,,,,,,,,,,,,
1,wkdy,1_Loop-wkdy_1_06:00,,,0,133892,p_901549,,,,,,,,,,,,
1,wkdy,1_Loop-wkdy_10_12:00,,,0,133892,p_901549,,,,,,,,,,,,
1,wkdy,1_Loop-wkdy_11_12:40,,,0,133892,p_901549,,,,,,,,,,,,
1,wkdy,1_Loop-wkdy_12_13:20,,,0,133892,p_901549,,,,,,,,,,,,
1,wkdy,1_Loop-wkdy_13_14:00,,,0,133892,p_901549,,,,,,,,,,,,
1,wkdy,1_Loop-wkdy_14_14:40,,,0,133892,p_901549,,,,,,,,,,,,
1,wkdy,1_Loop-wkdy_15_15:20,,,0,133892,p_901549,,,,,,,,,,,,
1,wkdy,1_Loop-wkdy_16_16:00,,,0,133892,p_901549,,,,,,,,,,,,
1,wkdy,1_Loop-wkdy_17_16:40,,,0,133892,p_901549,,,,,,,,,,,,
1,wkdy,1_Loop-wkdy_18_17:20,,,0,133892,p_901549,,,,,,,,,,,,
1,wkdy,1_Loop-wkdy_2_06:40,,,0,133892,p_901549,,,,,,,,,,,,
1,wkdy,1_Loop-wkdy_3_07:20,,,0,133892,p_901549,,,,,,,,,,,,
1,wkdy,1_Loop-wkdy_4_08:00,,,0,133892,p_901549,,,,,,,,,,,,
1,wkdy,1_Loop-wkdy_5_08:40,,,0,133892,p_901549,,,,,,,,,,,,
1,wkdy,1_Loop-wkdy_6_09:20,,,0,133892,p_901549,,,,,,,,,,,,
1,wkdy,1_Loop-wkdy_7_10:00,,,0,133892,p_901549,,,,,,,,,,,,
1,wkdy,1_Loop-wkdy_8_10:40,,,0,133892,p_901549,,,,,,,,,,,,
1,Sa,1_Loop-Sa_9_14:20,,,0,133892,p_901549,,,,,,,,,,,,
1,Sa,1_Loop-Sa_1_09:00,,,0,133892,p_901549,,,,,,,,,,,,
1,Sa,1_Loop-Sa_2_09:40,,,0,133892,p_901549,,,,,,,,,,,,
1,Sa,1_Loop-Sa_3_10:20,,,0,133892,p_901549,,,,,,,,,,,,
1,Sa,1_Loop-Sa_4_11:00,,,0,133892,p_901549,,,,,,,,,,,,
1,Sa,1_Loop-Sa_5_11:40,,,0,133892,p_901549,,,,,,,,,,,,
1,Sa,1_Loop-Sa_6_12:20,,,0,133892,p_901549,,,,,,,,,,,,
1,Sa,1_Loop-Sa_7_13:00,,,0,133892,p_901549,,,,,,,,,,,,
1,Sa,1_Loop-Sa_8_13:40,,,0,133892,p_901549,,,,,,,,,,,,
2,wkdy,2_Loop-wkdy_9_14:00,,,0,134050,p_901551,,,,,,,,,,,,
2,wkdy,2_Loop-wkdy_1_06:00,,,0,134050,p_901551,,,,,,,,,,,,
2,wkdy,2_Loop-wkdy_10_15:00,,,0,134050,p_901551,,,,,,,,,,,,
2,wkdy,2_Loop-wkdy_11_16:00,,,0,134050,p_901551,,,,,,,,,,,,
2,wkdy,2_Loop-wkdy_12_17:00,,,0,134050,p_901551,,,,,,,,,,,,
2,wkdy,2_Loop-wkdy_2_07:00,,,0,134050,p_901551,,,,,,,,,,,,
2,wkdy,2_Loop-wkdy_3_08:00,,,0,134050,p_901551,,,,,,,,,,,,
2,wkdy,2_Loop-wkdy_4_09:00,,,0,134050,p_901551,,,,,,,,,,,,
2,wkdy,2_Loop-wkdy_5_10:00,,,0,134050,p_901551,,,,,,,,,,,,
2,wkdy,2_Loop-wkdy_6_11:00,,,0,134050,p_901551,,,,,,,,,,,,
2,wkdy,2_Loop-wkdy_7_12:00,,,0,134050,p_901551,,,,,,,,,,,,
2,wkdy,2_Loop-wkdy_8_13:00,,,0,134050,p_901551,,,,,,,,,,,,
2,Sa,2_Loop-Sa_5_13:00,,,0,134050,p_901719,,,,,,,,,,,,
2,Sa,2_Loop-Sa_1_09:00,,,0,134050,p_901719,,,,,,,,,,,,
2,Sa,2_Loop-Sa_2_10:00,,,0,134050,p_901719,,,,,,,,,,,,
2,Sa,2_Loop-Sa_3_11:00,,,0,134050,p_901719,,,,,,,,,,,,
2,Sa,2_Loop-Sa_4_12:00,,,0,134050,p_901719,,,,,,,,,,,,
2,Sa,2_Loop-Sa_6_14:00,,,0,134050,p_901719,,,,,,,,,,,,
3,wkdy,3_Loop-wkdy_5_08:40,,,0,134051,p_901720,,,,,,,,,,,,
3,wkdy,3_Loop-wkdy_9_11:20,,,0,134051,p_901720,,,,,,,,,,,,
3,wkdy,3_Loop-wkdy_8_10:40,,,0,134051,p_901720,,,,,,,,,,,,
3,wkdy,3_Loop-wkdy_7_10:00,,,0,134051,p_901720,,,,,,,,,,,,
3,wkdy,3_Loop-wkdy_6_09:20,,,0,134051,p_901720,,,,,,,,,,,,
3,wkdy,3_Loop-wkdy_4_08:00,,,0,134051,p_901720,,,,,,,,,,,,
