shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_910590,33.9596730515778,-118.17455531727,1,0
p_910590,33.9596450010351,-118.174340105352,2,20.13357026
p_910590,33.9596615763568,-118.17433779951,3,21.9844439
p_910590,33.959703,-118.174702,4,55.95905261
p_910590,33.959713,-118.174786,5,63.80187167
p_910590,33.959729,-118.174931,6,77.32098292
p_910590,33.959747,-118.175106,7,93.61870491
p_910590,33.95975,-118.175135,8,96.31970355
p_910590,33.959782,-118.175429,9,123.72446872
p_910590,33.959786,-118.175471,10,127.63173034
p_910590,33.959804,-118.175645,11,143.8377135
p_910590,33.959825,-118.175825,12,160.63707641
p_910590,33.959837,-118.175971,13,174.19708782
p_910590,33.959839,-118.175984,14,175.41896263
p_910590,33.959863,-118.176202,15,195.74341427
p_910590,33.959874,-118.176324,16,207.08547577
p_910590,33.959894,-118.176506,17,224.05305682
p_910590,33.959922,-118.176814,18,252.68985046
p_910590,33.959962,-118.177153,19,284.335564
p_910590,33.959984,-118.177341,20,301.88256023
p_910590,33.960007,-118.177541,21,320.54338948
p_910590,33.960028,-118.177701,22,335.51420311
p_910590,33.960057,-118.177955,23,359.21027014
p_910590,33.960101,-118.178358,24,396.7771278
p_910590,33.96012,-118.178536,25,413.36373848
p_910590,33.960176,-118.179052,26,461.4593442
p_910590,33.960196,-118.179233,27,478.33523621
p_910590,33.960254,-118.17977,28,528.38418844
p_910590,33.960272,-118.17993,29,543.30680488
p_910590,33.960291,-118.180105,30,559.6183851
p_910590,33.960297,-118.180162,31,564.92863704
p_910590,33.960323,-118.180401,32,587.20632562
p_910590,33.960325,-118.180416,33,588.610378
p_910590,33.96033,-118.180461,34,592.80643883
p_910590,33.960342,-118.18058,35,603.88558361
p_910590,33.960345,-118.180608,36,606.49486503
p_910590,33.960363,-118.180775,37,622.05888317
p_910590,33.960379,-118.180918,38,635.39465996
p_910590,33.960383,-118.180955,39,638.84314495
p_910590,33.960399,-118.181101,40,652.45378522
p_910590,33.960438,-118.181461,41,686.00775598
p_910590,33.960448,-118.181556,42,694.85816069
p_910590,33.960457,-118.181637,43,702.41105934
p_910590,33.960471,-118.18176,44,713.8852198
p_910590,33.960487,-118.181924,45,729.14687981
p_910590,33.960492,-118.181969,46,733.34293283
p_910590,33.960514,-118.182188,47,753.73112629
p_910590,33.960543,-118.182481,48,781.00275571
p_910590,33.960576,-118.182811,49,811.72267499
p_910590,33.960592,-118.182966,50,826.15843734
p_910590,33.960594,-118.18299,51,828.38776099
p_910590,33.960601,-118.183054,52,834.35385694
p_910590,33.960606,-118.183105,53,839.10016952
p_910590,33.960648,-118.183523,54,878.01468659
p_910590,33.960673,-118.183768,55,900.8285477
p_910590,33.960682,-118.183867,56,910.03314948
p_910590,33.960701,-118.184047,57,926.80302205
p_910590,33.960703,-118.184069,58,928.848488529999
p_910590,33.960718,-118.184216,59,942.536797309999
p_910590,33.960737,-118.184408,60,960.407540469999
p_910590,33.960799,-118.185025,61,1017.84831691
p_910590,33.960824,-118.185269,62,1040.57039923
p_910590,33.96085,-118.185532,63,1065.04922288
p_910590,33.960873,-118.185765,64,1086.73533228
p_910590,33.961031,-118.185806,65,1104.6659744
p_910590,33.961267,-118.185867,66,1131.44376141
p_910590,33.961427,-118.185908,67,1149.59129392
p_910590,33.961694,-118.185973,68,1179.81058452
p_910590,33.96175,-118.185989,69,1186.19580701
p_910590,33.961868,-118.186023,70,1199.65652289
p_910590,33.961999,-118.186008,71,1214.25325384
p_910590,33.962332,-118.186079,72,1251.76857597
p_910590,33.962692,-118.186156,73,1292.32961673
p_910590,33.962779,-118.186175,74,1302.13828408
p_910590,33.962875,-118.186286,75,1316.92479541
p_910590,33.96302,-118.18631,76,1333.16068658
p_910590,33.963202,-118.18634,77,1353.53796473
p_910590,33.963135,-118.185685,78,1414.53056488
p_910590,33.963119,-118.185528,79,1429.14936895
p_910590,33.96311,-118.185438,80,1437.52728189
p_910590,33.963085,-118.185196,81,1460.06530929
p_910590,33.963034,-118.184716,82,1504.78841198
p_910590,33.962991,-118.184279,83,1545.45870256
p_910590,33.962948,-118.183861,84,1584.38560379
p_910590,33.962932,-118.183699,85,1599.46325008
p_910590,33.962894,-118.183335,86,1633.36893763
p_910590,33.962864,-118.183039,87,1660.92835931
p_910590,33.962829,-118.182696,88,1692.86696013
p_910590,33.962809,-118.182502,89,1710.93412959
p_910590,33.962774,-118.182158,90,1742.96449233
