shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_1274525,33.920832,-118.413548,1,0
p_1274525,33.920857,-118.413548,2,2.77302393
p_1274525,33.922224,-118.41354,3,154.40379394
p_1274525,33.923596,-118.413531,4,306.58967363
p_1274525,33.923597,-118.412943,5,360.9606276
p_1274525,33.923598,-118.41239,6,412.09522856
p_1274525,33.923599,-118.411802,7,466.46618126
p_1274525,33.9236,-118.411232,8,519.17272346
p_1274525,33.923602,-118.410475,9,589.17090551
p_1274525,33.923601,-118.410061,10,627.45257435
p_1274525,33.923599,-118.409731,11,657.9676269
p_1274525,33.92361,-118.408732,12,750.3506249
p_1274525,33.923605,-118.407769,13,839.39846252
p_1274525,33.923606,-118.406825,14,926.68776487
p_1274525,33.923617,-118.405844,15,1017.40648994
p_1274525,33.923609,-118.404853,16,1109.0459783
p_1274525,33.9238,-118.404854,17,1130.23209274
p_1274525,33.924313,-118.404856,18,1187.13487396
p_1274525,33.92462,-118.404857,19,1221.18775338
p_1274525,33.925073,-118.404858,20,1271.43506472
p_1274525,33.925769,-118.404865,21,1348.63882159
p_1274525,33.926046,-118.404868,22,1379.36520417
p_1274525,33.927008,-118.404876,23,1486.07382741
p_1274525,33.928027,-118.404867,24,1599.10546871
p_1274525,33.929041,-118.404871,25,1711.58006795
p_1274525,33.929888,-118.404873,26,1805.53043231
p_1274525,33.930325,-118.404876,27,1854.00375722
p_1274525,33.930426,-118.404875,28,1865.20717279
p_1274525,33.930509,-118.404875,29,1874.41362664
p_1274525,33.930866,-118.404876,30,1914.01257966
p_1274525,33.930862,-118.4081,31,2212.1025431
p_1274525,33.930862,-118.408157,32,2217.37273835
p_1274525,33.930861,-118.40828,33,2228.74580593
p_1274525,33.930864,-118.408777,34,2274.69941471
p_1274525,33.930864,-118.409082,35,2302.89958163
p_1274525,33.930863,-118.40999,36,2386.8529392
p_1274525,33.930861,-118.410902,37,2471.17635505
p_1274525,33.93086,-118.411125,38,2491.79513695
p_1274525,33.93086,-118.411247,39,2503.07520424
p_1274525,33.930858,-118.41214,40,2585.64189744
p_1274525,33.930857,-118.412774,41,2644.2613702
p_1274525,33.930857,-118.413559,42,2716.84213362
p_1274525,33.930852,-118.414959,43,2846.28672523
p_1274525,33.93085,-118.415717,44,2916.37143624
p_1274525,33.930849,-118.415974,45,2940.13380702
p_1274525,33.930667,-118.415973,46,2960.32166549
p_1274525,33.930562,-118.415972,47,2971.96875149
p_1274525,33.930513,-118.415971,48,2977.40467334
p_1274525,33.930212,-118.415968,49,3010.79308532
p_1274525,33.929509,-118.415964,50,3088.77150956
p_1274525,33.928916,-118.415971,51,3154.55091089
p_1274525,33.927944,-118.41597,52,3262.36625384
p_1274525,33.926982,-118.415967,53,3369.07268996
p_1274525,33.926,-118.415963,54,3477.99779778
p_1274525,33.925063,-118.415964,55,3581.93085492
p_1274525,33.92359,-118.415969,56,3745.31817135
p_1274525,33.923591,-118.416577,57,3801.53847387
p_1274525,33.92359,-118.417077,58,3847.77231835
p_1274525,33.923603,-118.417077,59,3849.21429144
p_1274525,33.923602,-118.417183,60,3859.0164645
p_1274525,33.922234,-118.417177,61,4010.75739922
p_1274525,33.920842,-118.417188,62,4165.16273927
p_1274525,33.920334,-118.417181,63,4221.51430088
p_1274525,33.920228,-118.41718,64,4233.27228488
p_1274525,33.919131,-118.417167,65,4354.95848977
p_1274525,33.919055,-118.417166,66,4363.38898728
