stop_id,stop_city
2730090,South Gate
2730051,South Gate
2730043,South Gate
2730085,South Gate
2730056,South Gate
2730075,South Gate
2730044,South Gate
2730094,South Gate
2730053,South Gate
2730046,South Gate
2730047,South Gate
2730076,South Gate
2730096,South Gate
2730054,South Gate
2730081,South Gate
2730092,South Gate
2730087,South Gate
2730080,South Gate
2730077,South Gate
2730049,South Gate
2730078,South Gate
2730048,South Gate
2730052,South Gate
2730050,South Gate
2730095,South Gate
2730086,South Gate
2730097,South Gate
2730079,South Gate
2730084,South Gate
2730093,South Gate
2730045,South Gate
2730082,South Gate
2730083,South Gate
