shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_914785,33.9798742962262,-118.206299299389,1,0
p_914785,33.9796353476265,-118.206293704137,2,26.50970402
p_914785,33.9786484000703,-118.206269850013,3,136.00609988
p_914785,33.9783657511871,-118.206261102691,4,167.36849713
p_914785,33.9780223960818,-118.206246844925,5,205.4769121
p_914785,33.9775853114225,-118.206231573248,6,253.9797452
p_914785,33.9773363778061,-118.206224021334,7,281.60077203
p_914785,33.9770623843308,-118.206206776332,8,312.03442086
p_914785,33.9768009241248,-118.20619733644,9,341.04921833
p_914785,33.9765527197231,-118.206187643114,10,368.59510664
p_914785,33.9763491866759,-118.206187643114,11,391.17139131
p_914785,33.9763570148793,-118.206136667697,12,395.96140943
p_914785,33.976403984083,-118.206066812496,13,404.25687116
p_914785,33.9764290343141,-118.206015837079,14,409.72596564
p_914785,33.9764305999527,-118.20594220592,15,416.53245863
p_914785,33.976434,-118.205934,16,417.37937701
p_914785,33.976434,-118.205923,17,418.3958902
p_914785,33.976411,-118.20566,18,442.83333421
p_914785,33.976304,-118.204716,19,530.87240783
p_914785,33.976292,-118.20461,20,540.75793639
p_914785,33.976257,-118.204337,21,566.28296011
p_914785,33.976234,-118.2042,22,579.19769068
p_914785,33.974859,-118.203943,23,733.55341158
p_914785,33.97468,-118.20391,24,753.64127092
p_914785,33.974498,-118.203876,25,774.07210962
p_914785,33.973747,-118.203737,26,858.35904259
p_914785,33.972488,-118.203292,27,1003.93894587
p_914785,33.972165,-118.20335,28,1040.16544494
p_914785,33.971993,-118.203381,29,1059.45790573
p_914785,33.971886,-118.2034,30,1071.45572984
p_914785,33.971672,-118.203433,31,1095.38811878
p_914785,33.971629,-118.20344,32,1100.20142966
p_914785,33.971367,-118.203483,33,1129.53339518
p_914785,33.971294,-118.203495,34,1137.70628126
p_914785,33.971267,-118.203499,35,1140.72389948
p_914785,33.971238,-118.203503,36,1143.96180462
p_914785,33.971053,-118.20353,37,1164.63349908
p_914785,33.971067,-118.203664,38,1177.11424337
p_914785,33.971053,-118.20353,39,1189.59498766
p_914785,33.970895,-118.203556,40,1207.28459205
p_914785,33.970687,-118.203589,41,1230.55703091
p_914785,33.970435,-118.20363,42,1258.7649842
p_914785,33.970235,-118.203663,43,1281.15800308
p_914785,33.970074,-118.203693,44,1299.2303548
p_914785,33.969878,-118.20373,45,1321.23830318
p_914785,33.969612,-118.203773,46,1351.0099287
p_914785,33.969431,-118.203802,47,1371.26487905
p_914785,33.969261,-118.203826,48,1390.251591
p_914785,33.96909,-118.203849,49,1409.33795638
p_914785,33.968791,-118.20389,50,1442.7193347
p_914785,33.968694,-118.203904,51,1453.55626797
p_914785,33.968607,-118.203916,52,1463.26998318
p_914785,33.968442,-118.203941,53,1481.71734445
p_914785,33.968243,-118.203972,54,1503.97593761
p_914785,33.967979,-118.204013,55,1533.50343356
p_914785,33.96779,-118.204042,56,1554.63828321
p_914785,33.967616,-118.204069,57,1574.09931819
p_914785,33.967394,-118.204103,58,1598.92363649
p_914785,33.967159,-118.204137,59,1625.17897385
p_914785,33.966962,-118.204166,60,1647.19432173
p_914785,33.966802,-118.20419,61,1665.07988035
p_914785,33.966633,-118.204214,62,1683.95643444
p_914785,33.966341,-118.204257,63,1716.58849225
p_914785,33.966244,-118.204271,64,1727.42542568
p_914785,33.966154,-118.204284,65,1737.48042618
p_914785,33.965984,-118.204308,66,1756.46713808
p_914785,33.965777,-118.204337,67,1779.5838476
p_914785,33.965518,-118.204374,68,1808.51538915
p_914785,33.96533,-118.204401,69,1829.51745504
