shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_1384074,33.962979,-118.350906,1,0
p_1384074,33.962977,-118.351163,2,23.75422133
p_1384074,33.962971,-118.351995,3,100.65457667
p_1384074,33.962644,-118.351997,4,136.9264483
p_1384074,33.962578,-118.352033,5,144.96793933
p_1384074,33.962475,-118.352024,6,156.42311728
p_1384074,33.962179,-118.351991,7,189.39730648
p_1384074,33.962122,-118.351956,8,196.49935257
p_1384074,33.961775,-118.351956,9,234.98918208
p_1384074,33.961783,-118.351314,10,294.33340047
p_1384074,33.961782,-118.351145,11,309.95381177
p_1384074,33.961782,-118.351097,12,314.39026646
p_1384074,33.961788,-118.350364,13,382.14189311
p_1384074,33.961245,-118.350362,14,442.37265503
p_1384074,33.961066,-118.350361,15,462.22785169
p_1384074,33.960492,-118.350358,16,525.89749851
p_1384074,33.96039,-118.350245,17,541.29524525
p_1384074,33.960247,-118.350086,18,562.91859616
p_1384074,33.960229,-118.350066,19,565.63953932
p_1384074,33.959917,-118.349694,20,614.42363918
p_1384074,33.959466,-118.349157,21,684.89424617
p_1384074,33.959117,-118.349554,22,738.23335057
p_1384074,33.95898,-118.349709,23,759.11816253
p_1384074,33.958849,-118.349858,24,779.13837895
p_1384074,33.958714,-118.350019,25,800.24954564
p_1384074,33.958307,-118.350474,26,861.94837838
p_1384074,33.957982,-118.350856,27,912.40869742
p_1384074,33.957722,-118.351162,28,952.80289829
p_1384074,33.957615,-118.351288,29,969.431164
p_1384074,33.957614,-118.35129,30,969.64674996
p_1384074,33.957357,-118.351592,31,1009.54459028
p_1384074,33.957242,-118.351726,32,1027.32441116
p_1384074,33.957159,-118.351824,33,1040.23995886
p_1384074,33.957121,-118.351927,34,1050.65171182
p_1384074,33.957117,-118.351991,35,1056.58392301
p_1384074,33.95715,-118.352057,36,1063.69828877
p_1384074,33.957267,-118.352038,37,1076.79440441
p_1384074,33.958014,-118.351969,38,1159.89794294
p_1384074,33.958001,-118.352022,39,1165.00456296
p_1384074,33.958,-118.352169,40,1178.59225936
p_1384074,33.957137,-118.352273,41,1274.79906745
p_1384074,33.95694,-118.352278,42,1296.65551138
p_1384074,33.956845,-118.352293,43,1307.28388474
p_1384074,33.956795,-118.352301,44,1312.87904302
p_1384074,33.95667,-118.352303,45,1326.74547593
p_1384074,33.956506,-118.35232,46,1345.00435825
p_1384074,33.955669,-118.352415,47,1438.26007001
p_1384074,33.95544,-118.35244,48,1463.76600781
p_1384074,33.954948,-118.352498,49,1518.60212206
p_1384074,33.954664,-118.352534,50,1550.27911273
p_1384074,33.954073,-118.352614,51,1616.24950995
p_1384074,33.953546,-118.352679,52,1675.01313067
p_1384074,33.953123,-118.35273,53,1722.16917493
p_1384074,33.953092,-118.352734,54,1725.62756432
p_1384074,33.952723,-118.352779,55,1766.7684328
p_1384074,33.952725,-118.352584,56,1784.79480513
p_1384074,33.952722,-118.352115,57,1828.14853573
p_1384074,33.952721,-118.351941,58,1844.23277127
p_1384074,33.952721,-118.351903,59,1847.7453369
p_1384074,33.95272,-118.35174,60,1862.81280312
p_1384074,33.95272,-118.350916,61,1938.98001666
p_1384074,33.952721,-118.350041,62,2019.86153867
p_1384074,33.952721,-118.349173,63,2100.09593258
p_1384074,33.952046,-118.349171,64,2174.96819102
p_1384074,33.951892,-118.34917,65,2192.05035501
p_1384074,33.951821,-118.349171,66,2199.92632516
p_1384074,33.951671,-118.34917,67,2216.56480914
