trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_3642889_b_55702_tn_0,10:00:00,10:00:00,3878453,1,Kaiser Permanente,0,0,0,0,,,,,1,1,,,,,,,,,Kaiser Permanente,,
t_3642889_b_55702_tn_0,10:03:00,10:03:00,3878454,2,Kaiser Permanente,0,0,562.918596169654,0,,,,,1,1,,,,,,,,,Kaiser Permanente,,
t_3642889_b_55702_tn_0,10:05:00,10:05:00,3878455,3,Kaiser Permanente,0,0,969.431164032387,0,,,,,1,1,,,,,,,,,Kaiser Permanente,,
t_3642889_b_55702_tn_0,10:10:00,10:10:00,3878456,4,Kaiser Permanente,0,0,1844.23277130029,0,,,,,1,1,,,,,,,,,Kaiser Permanente,,
t_3642889_b_55702_tn_0,10:12:00,10:12:00,3878457,5,Kaiser Permanente,0,0,2543.03870004705,0,,,,,1,1,,,,,,,,,Kaiser Permanente,,
t_3642889_b_55702_tn_0,10:14:00,10:14:00,3878458,6,Kaiser Permanente,0,0,3043.34949195367,0,,,,,1,1,,,,,,,,,Kaiser Permanente,,
t_3642889_b_55702_tn_0,10:15:00,10:15:00,3878459,7,Kaiser Permanente,0,0,3851.54821863086,0,,,,,1,1,,,,,,,,,Kaiser Permanente,,
t_3642889_b_55702_tn_0,10:17:00,10:17:00,3878460,8,Kaiser Permanente,0,0,4569.3379733234,0,,,,,1,1,,,,,,,,,Kaiser Permanente,,
t_3642889_b_55702_tn_0,10:20:00,10:20:00,3878461,9,Kaiser Permanente,0,0,5216.34093143125,0,,,,,1,1,,,,,,,,,Kaiser Permanente,,
t_3642889_b_55702_tn_0,10:21:00,10:21:00,3878462,10,Kaiser Permanente,0,0,5551.05093132903,0,,,,,1,1,,,,,,,,,Kaiser Permanente,,
t_3642889_b_55702_tn_0,10:22:00,10:22:00,3878463,11,Kaiser Permanente,0,0,6263.41959919055,0,,,,,1,1,,,,,,,,,Kaiser Permanente,,
t_3642889_b_55702_tn_0,10:24:00,10:24:00,3878464,12,Kaiser Permanente,0,0,7886.79100975622,0,,,,,1,1,,,,,,,,,Kaiser Permanente,,
t_3642889_b_55702_tn_0,10:26:00,10:26:00,3878466,13,Kaiser Permanente,0,0,8872.40069984724,0,,,,,1,1,,,,,,,,,Kaiser Permanente,,
t_3642889_b_55702_tn_0,10:30:00,10:30:00,3878467,14,Kaiser Permanente,0,0,9887.11714821966,0,,,,,1,1,,,,,,,,,Kaiser Permanente,,
t_3642889_b_55702_tn_0,10:31:00,10:31:00,3878468,15,Inglewood Senior Center,0,0,10106.502705703,0,,,,,1,1,,,,,,,,,Inglewood Senior Center,,
t_3642889_b_55702_tn_0,10:32:00,10:32:00,3878469,16,Inglewood Senior Center,0,0,10595.3929596343,0,,,,,1,1,,,,,,,,,Inglewood Senior Center,,
t_3642889_b_55702_tn_0,10:34:00,10:34:00,3878470,17,Inglewood Senior Center,0,0,11219.2163843863,0,,,,,1,1,,,,,,,,,Inglewood Senior Center,,
t_3642889_b_55702_tn_0,10:36:00,10:36:00,3878471,18,Inglewood Senior Center,0,0,11886.1260845033,0,,,,,1,1,,,,,,,,,Inglewood Senior Center,,
t_3642889_b_55702_tn_0,10:37:00,10:37:00,3878472,19,Inglewood Senior Center,0,0,12257.1941018722,0,,,,,1,1,,,,,,,,,Inglewood Senior Center,,
t_3642889_b_55702_tn_0,10:37:00,10:37:00,3878475,20,Inglewood Senior Center,0,0,12462.6499955866,0,,,,,1,1,,,,,,,,,Inglewood Senior Center,,
t_3642889_b_55702_tn_0,10:40:00,10:40:00,3878476,21,Inglewood Senior Center,0,0,13150.4283737557,0,,,,,1,1,,,,,,,,,Inglewood Senior Center,,
t_3642889_b_55702_tn_0,10:44:00,10:44:00,3878478,22,Inglewood Senior Center,0,0,14183.034813082,0,,,,,1,1,,,,,,,,,Inglewood Senior Center,,
t_3642889_b_55702_tn_0,10:45:00,10:45:00,3878485,23,Inglewood Senior Center,0,0,14829.109767543,0,,,,,1,1,,,,,,,,,Inglewood Senior Center,,
t_3642889_b_55702_tn_0,10:49:00,10:49:00,3878486,24,Inglewood Senior Center,0,0,16520.26355995,0,,,,,1,1,,,,,,,,,Inglewood Senior Center,,
t_3642890_b_55702_tn_0,11:00:00,11:00:00,3878453,1,Kaiser Permanente,0,0,0,0,,,,,1,1,,,,,,,,,Kaiser Permanente,,
t_3642890_b_55702_tn_0,11:03:00,11:03:00,3878454,2,Kaiser Permanente,0,0,562.918596169654,0,,,,,1,1,,,,,,,,,Kaiser Permanente,,
t_3642890_b_55702_tn_0,11:05:00,11:05:00,3878455,3,Kaiser Permanente,0,0,969.431164032387,0,,,,,1,1,,,,,,,,,Kaiser Permanente,,
t_3642890_b_55702_tn_0,11:10:00,11:10:00,3878456,4,Kaiser Permanente,0,0,1844.23277130029,0,,,,,1,1,,,,,,,,,Kaiser Permanente,,
t_3642890_b_55702_tn_0,11:12:00,11:12:00,3878457,5,Kaiser Permanente,0,0,2543.03870004705,0,,,,,1,1,,,,,,,,,Kaiser Permanente,,
t_3642890_b_55702_tn_0,11:14:00,11:14:00,3878458,6,Kaiser Permanente,0,0,3043.34949195367,0,,,,,1,1,,,,,,,,,Kaiser Permanente,,
t_3642890_b_55702_tn_0,11:15:00,11:15:00,3878459,7,Kaiser Permanente,0,0,3851.54821863086,0,,,,,1,1,,,,,,,,,Kaiser Permanente,,
t_3642890_b_55702_tn_0,11:17:00,11:17:00,3878460,8,Kaiser Permanente,0,0,4569.3379733234,0,,,,,1,1,,,,,,,,,Kaiser Permanente,,
t_3642890_b_55702_tn_0,11:20:00,11:20:00,3878461,9,Kaiser Permanente,0,0,5216.34093143125,0,,,,,1,1,,,,,,,,,Kaiser Permanente,,
t_3642890_b_55702_tn_0,11:21:00,11:21:00,3878462,10,Kaiser Permanente,0,0,5551.05093132903,0,,,,,1,1,,,,,,,,,Kaiser Permanente,,
t_3642890_b_55702_tn_0,11:22:00,11:22:00,3878463,11,Kaiser Permanente,0,0,6263.41959919055,0,,,,,1,1,,,,,,,,,Kaiser Permanente,,
t_3642890_b_55702_tn_0,11:24:00,11:24:00,3878464,12,Kaiser Permanente,0,0,7886.79100975622,0,,,,,1,1,,,,,,,,,Kaiser Permanente,,
t_3642890_b_55702_tn_0,11:26:00,11:26:00,3878466,13,Kaiser Permanente,0,0,8872.40069984724,0,,,,,1,1,,,,,,,,,Kaiser Permanente,,
t_3642890_b_55702_tn_0,11:30:00,11:30:00,3878467,14,Kaiser Permanente,0,0,9887.11714821966,0,,,,,1,1,,,,,,,,,Kaiser Permanente,,
t_3642890_b_55702_tn_0,11:31:00,11:31:00,3878468,15,Inglewood Senior Center,0,0,10106.502705703,0,,,,,1,1,,,,,,,,,Inglewood Senior Center,,
