shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_901806,33.978256,-118.189194,1,0
p_901806,33.978245,-118.189064,2,12.0748868
p_901806,33.978222,-118.188866,3,30.54874518
p_901806,33.978195,-118.188568,4,58.24881738
p_901806,33.978176,-118.18837,5,76.66665656
p_901806,33.978168,-118.188301,6,83.10428897
p_901806,33.978142,-118.188057,7,105.83563531
p_901806,33.978119,-118.187874,8,122.9377411
p_901806,33.978096,-118.187675,9,141.50315367
p_901806,33.978088,-118.187622,10,146.48054401
p_901806,33.978069,-118.187454,11,162.14757191
p_901806,33.978065,-118.187424,12,164.95510832
p_901806,33.97805,-118.187302,13,176.35106476
p_901806,33.978027,-118.187073,14,197.6658537
p_901806,33.978008,-118.18692,15,211.96057863
p_901806,33.977985,-118.186691,16,233.27537789
p_901806,33.977974,-118.1866,17,241.77262014
p_901806,33.977947,-118.186317,18,268.09519431
p_901806,33.977947,-118.18631,19,268.74205488
p_901806,33.977924,-118.186096,20,288.68139413
p_901806,33.977901,-118.185905,21,306.51488132
p_901806,33.977863,-118.185562,22,338.49010804
p_901806,33.977844,-118.185371,23,356.26555954
p_901806,33.977798,-118.184929,24,397.42771322
p_901806,33.977787,-118.184822,25,407.39045497
p_901806,33.977737,-118.184349,26,451.45029823
p_901806,33.977734,-118.184326,27,453.60159471
p_901806,33.977718,-118.184189,28,466.38540502
p_901806,33.977665,-118.18367,29,514.70460566
p_901806,33.97765,-118.183517,30,528.94074081
p_901806,33.977642,-118.183434,31,536.66184799
p_901806,33.977612,-118.183159,32,562.29126851
p_901806,33.977589,-118.182915,33,584.98294241
p_901806,33.97757,-118.182762,34,599.27773903
p_901806,33.977547,-118.182564,35,617.75174059
p_901806,33.977543,-118.182526,36,621.2912052
p_901806,33.977489,-118.182022,37,668.24898737
p_901806,33.97747,-118.181816,38,687.40158105
p_901806,33.977428,-118.181419,39,724.38264729
p_901806,33.977425,-118.181374,40,728.55435513
p_901806,33.977371,-118.180878,41,774.77906224
p_901806,33.977356,-118.180717,42,789.74970296
p_901806,33.9773277485452,-118.180454043928,43,814.25052194
p_901806,33.977303,-118.180222,44,835.86855215
p_901806,33.977283,-118.180069,45,850.18016963
p_901806,33.977234,-118.179558,46,897.7131383
p_901806,33.977215,-118.179413,47,911.2772341
p_901806,33.97718,-118.179085,48,941.83515546
p_901806,33.977112,-118.178421,49,1003.65693293
p_901806,33.977062,-118.17794,50,1048.45061196
p_901806,33.977016,-118.177551,51,1084.75827566
p_901806,33.976994,-118.177345,52,1103.95044134
p_901806,33.976994,-118.17733,53,1105.3365866
p_901806,33.976955,-118.17701,54,1135.22243941
p_901806,33.9769439911334,-118.176912187225,55,1144.3434042
p_901806,33.9769440342684,-118.176913559562,56,1144.47031171
p_901806,33.976917,-118.176651,57,1168.91797941
p_901806,33.976887,-118.176392,58,1193.08233512
p_901806,33.97686,-118.176132,59,1217.29482318
p_901806,33.97681,-118.175674,60,1259.98037101
p_901806,33.976761,-118.175201,61,1304.02688505
p_901806,33.976711,-118.174797,62,1341.77021269
p_901806,33.976669,-118.1745,63,1369.60857118
p_901806,33.976635,-118.174133,64,1403.73210684
p_901806,33.976616,-118.173935,65,1422.15027795
p_901806,33.976578,-118.173607,66,1452.75246708
p_901806,33.976547,-118.173355,67,1476.29232447
p_901806,33.976479,-118.172783,68,1529.68640414
