trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
Yellow-Line_Counterclockwise-wkdy_1_06:00,06:00:00,06:00:00,2745351,1,Senior Center,0,0,0,1,,,,,1,1,,,,,,,,,,,
Yellow-Line_Counterclockwise-wkdy_1_06:00,,,2745352,2,Senior Center,0,0,422.352733659654,0,,,,,1,1,,,,,,,,,,,
Yellow-Line_Counterclockwise-wkdy_1_06:00,,,2745353,3,Senior Center,0,0,769.667605299583,0,,,,,1,1,,,,,,,,,,,
Yellow-Line_Counterclockwise-wkdy_1_06:00,,,2745354,4,Senior Center,0,0,1217.03064895548,0,,,,,1,1,,,,,,,,,,,
Yellow-Line_Counterclockwise-wkdy_1_06:00,06:06:00,06:06:00,2745355,5,Senior Center,0,0,1677.31272913006,1,,,,,1,1,,,,,,,,,,,
Yellow-Line_Counterclockwise-wkdy_1_06:00,,,2745357,6,Senior Center,0,0,2111.52592984182,0,,,,,1,1,,,,,,,,,,,
Yellow-Line_Counterclockwise-wkdy_1_06:00,,,2745359,7,Senior Center,0,0,3197.11585794556,0,,,,,1,1,,,,,,,,,,,
Yellow-Line_Counterclockwise-wkdy_1_06:00,,,2745362,8,Senior Center,0,0,3859.8744978745,0,,,,,1,1,,,,,,,,,,,
Yellow-Line_Counterclockwise-wkdy_1_06:00,06:11:00,06:11:00,2745364,9,Senior Center,0,0,4390.4215001437,1,,,,,1,1,,,,,,,,,,,
Yellow-Line_Counterclockwise-wkdy_1_06:00,,,2750548,10,Senior Center,0,0,4700.84009591262,0,,,,,1,1,,,,,,,,,,,
Yellow-Line_Counterclockwise-wkdy_1_06:00,,,2745366,11,Senior Center,0,0,4951.35662142757,0,,,,,1,1,,,,,,,,,,,
Yellow-Line_Counterclockwise-wkdy_1_06:00,,,2745369,12,Senior Center,0,0,5245.11099091238,0,,,,,1,1,,,,,,,,,,,
Yellow-Line_Counterclockwise-wkdy_1_06:00,,,2745370,13,Senior Center,0,0,6107.26341185378,0,,,,,1,1,,,,,,,,,,,
Yellow-Line_Counterclockwise-wkdy_1_06:00,,,2745371,14,Senior Center,0,0,7041.42627627547,0,,,,,1,1,,,,,,,,,,,
Yellow-Line_Counterclockwise-wkdy_1_06:00,,,2745372,15,Senior Center,0,0,7541.83460749337,0,,,,,1,1,,,,,,,,,,,
Yellow-Line_Counterclockwise-wkdy_1_06:00,06:18:00,06:18:00,2745373,16,Senior Center,0,0,7949.51237044399,1,,,,,1,1,,,,,,,,,,,
Yellow-Line_Counterclockwise-wkdy_1_06:00,,,2745374,17,Senior Center,0,0,8432.51826463045,0,,,,,1,1,,,,,,,,,,,
Yellow-Line_Counterclockwise-wkdy_1_06:00,,,2745375,18,Senior Center,0,0,9337.54985584182,0,,,,,1,1,,,,,,,,,,,
Yellow-Line_Counterclockwise-wkdy_1_06:00,,,2745376,19,Senior Center,0,0,10039.2075764735,0,,,,,1,1,,,,,,,,,,,
Yellow-Line_Counterclockwise-wkdy_1_06:00,,,2745377,20,Senior Center,0,0,10609.6272723672,0,,,,,1,1,,,,,,,,,,,
Yellow-Line_Counterclockwise-wkdy_1_06:00,,,2745378,21,Senior Center,0,0,11234.1234330668,0,,,,,1,1,,,,,,,,,,,
Yellow-Line_Counterclockwise-wkdy_1_06:00,06:26:00,06:26:00,2745379,22,Senior Center,0,0,11547.4871075786,1,,,,,1,1,,,,,,,,,,,
Yellow-Line_Counterclockwise-wkdy_1_06:00,,,2745380,23,Senior Center,0,0,11863.7741872189,0,,,,,1,1,,,,,,,,,,,
Yellow-Line_Counterclockwise-wkdy_1_06:00,,,2745382,24,Senior Center,0,0,12480.8575159709,0,,,,,1,1,,,,,,,,,,,
Yellow-Line_Counterclockwise-wkdy_1_06:00,06:32:00,06:32:00,2750563,25,Plaza De Hacienda,0,0,13114.0897011001,1,,,,,1,1,,,,,,,,,,,
Yellow-Line_Counterclockwise-wkdy_1_06:00,,,2745384,26,Plaza De Hacienda,0,0,13663.2912899192,0,,,,,1,1,,,,,,,,,,,
Yellow-Line_Counterclockwise-wkdy_1_06:00,,,2745385,27,Plaza De Hacienda,0,0,13927.8276225604,0,,,,,1,1,,,,,,,,,,,
Yellow-Line_Counterclockwise-wkdy_1_06:00,,,2750564,28,Plaza De Hacienda,0,0,14327.1301428851,0,,,,,1,1,,,,,,,,,,,
