stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding,tts_stop_name
2745297,,,Senior Center,,34.020187,-117.948749,,,0,,America/Los_Angeles,,,0,
2745342,,,Stimson Ave & Rowland St,,34.0228374711242,-117.949001704113,,,0,,America/Los_Angeles,,,0,
2745343,,,Stimson Ave & Victoria Ave NB,,34.0273201041949,-117.949010484914,,,0,,America/Los_Angeles,,,0,
2745344,,,Del Valle Ave & Sierra Vista Ct NB,,34.0307119428738,-117.943850328951,,,0,,America/Los_Angeles,,,0,
2745345,,,Del Valle Ave & Loukelton St NB,,34.034499859328,-117.943495166566,,,0,,America/Los_Angeles,,,0,
2745346,,,Hacienda Blvd & Amar Rd NB,,34.0375385199189,-117.949783533159,,,0,,America/Los_Angeles,,,0,
2745347,,,Amar Rd & Del Valle Ave WB,,34.0368717547544,-117.943576641914,,,0,,America/Los_Angeles,,,0,
2745348,,,Hacienda Blvd & Fairgrove Ave NB,,34.0418239817262,-117.94935889607,,,0,,America/Los_Angeles,,,0,
2745349,,,Hacienda Blvd & Maplegrove  St NB,,34.0459892606732,-117.948654670757,,,0,,America/Los_Angeles,,,0,
2745350,,,Hacienda Blvd & Francisquito Ave NB,,34.0507470291607,-117.943506243302,,,0,,America/Los_Angeles,,,0,
2745351,,,Hacienda Blvd & Francisquito Ave (Plaza De Hacienda),,34.0508959268224,-117.943758322176,,,0,,America/Los_Angeles,,,0,
2745352,,,Hacienda Blvd & Francisquito Ave SB,,34.0480874042333,-117.946798999307,,,0,,America/Los_Angeles,,,0,
2745353,,,Hacienda Blvd & Maplegrove St SB,,34.0456464376162,-117.949183755562,,,0,,America/Los_Angeles,,,0,
2745354,,,Hacienda Blvd & Unruh Ave,,34.0416252886094,-117.949686751295,,,0,,America/Los_Angeles,,,0,
2745355,,,Hacienda Blvd & Amar Rd SB,,34.0374885208989,-117.950081444602,,,0,,America/Los_Angeles,,,0,
2745356,,,Amar Rd & Hacienda Blvd,,34.0373192186015,-117.950457896907,,,0,,America/Los_Angeles,,,0,
2745357,,,Amar Rd & Unruh Ave WB,,34.0386913766937,-117.953862904686,,,0,,America/Los_Angeles,,,0,
2745358,,,Amar Rd & California Ave,,34.041792290733,-117.958070570778,,,0,,America/Los_Angeles,,,0,
2745359,,,Amar Rd & Sunset Ave WB,,34.0451626927006,-117.962680618754,,,0,,America/Los_Angeles,,,0,
2745360,,,Hacienda Blvd & Francisquito Ave NB,,34.048396247008,-117.94610111926,,,0,,America/Los_Angeles,,,0,
