date | gtfs_static_file | duration
2023-07-21 15:48:41 | routes | 1.47 seconds.
2023-07-21 15:48:45 | trips | 4.18 seconds.
2023-07-21 15:48:48 | stops | 2.65 seconds.
2023-07-21 15:48:49 | calendar | 0.85 seconds.
2023-07-21 15:49:23 | shapes | 34.62 seconds.
2023-07-21 15:54:21 | stop_times | 297.03 seconds.
2023-07-21 15:59:23 | routes | 1.52 seconds.
2023-07-21 15:59:27 | trips | 3.94 seconds.
2023-07-21 15:59:29 | stops | 2.56 seconds.
2023-07-21 15:59:30 | calendar | 1.02 seconds.
2023-07-21 16:00:03 | shapes | 32.83 seconds.
2023-07-21 16:05:21 | stop_times | 318.12 seconds.
2023-07-21 16:09:26 | routes | 1.53 seconds.
2023-07-21 16:09:29 | trips | 3.79 seconds.
2023-07-21 16:09:33 | stops | 3.15 seconds.
2023-07-21 16:09:34 | calendar | 0.94 seconds.
2023-07-21 16:10:08 | shapes | 34.01 seconds.
2023-07-21 16:15:15 | stop_times | 307.04 seconds.
