shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_1425695,33.988457,-118.198375,1,0
p_1425695,33.988455,-118.198358,2,1.58634245
p_1425695,33.988445,-118.198269,3,9.8841735
p_1425695,33.988386,-118.198151,4,22.6003903
p_1425695,33.98831,-118.197441,5,88.74197174
p_1425695,33.98829,-118.197247,6,106.8038347
p_1425695,33.988321,-118.197015,7,128.51408246
p_1425695,33.988299,-118.196849,8,144.04497041
p_1425695,33.988265,-118.196585,9,168.72772235
p_1425695,33.988226,-118.196167,10,207.59139598
p_1425695,33.988215,-118.196045,11,218.92973778
p_1425695,33.988201,-118.195889,12,233.4271665
p_1425695,33.988129,-118.195089,13,307.77543248
p_1425695,33.988117,-118.194964,14,319.40158523
p_1425695,33.988106,-118.19484,15,330.92368069
p_1425695,33.988095,-118.194719,16,342.17018152
p_1425695,33.988066,-118.194399,17,371.9119082
p_1425695,33.988027,-118.194021,18,407.10513468
p_1425695,33.987986,-118.193624,19,444.06789123
p_1425695,33.987953,-118.193308,20,473.49415284
p_1425695,33.987917,-118.192999,21,502.32298346
p_1425695,33.987907,-118.192914,22,510.25474525
p_1425695,33.987885,-118.19273,23,527.43019837
p_1425695,33.98784,-118.192268,24,570.40887679
p_1425695,33.9878,-118.191843,25,609.92787344
p_1425695,33.987797,-118.191815,26,612.53633019
p_1425695,33.987744,-118.191324,27,658.28307679
p_1425695,33.987722,-118.191125,28,676.83151794
p_1425695,33.987711,-118.190991,29,689.27283638
p_1425695,33.987699,-118.190853,30,702.0930599
p_1425695,33.987689,-118.190758,31,710.94068659
p_1425695,33.987678,-118.190647,32,721.26920079
p_1425695,33.987661,-118.190489,33,735.98938431
p_1425695,33.987657,-118.190447,34,739.8953878
p_1425695,33.98765,-118.190381,35,746.04289753
p_1425695,33.987613,-118.19001,36,780.56742756
p_1425695,33.987581,-118.189681,37,811.17296486
p_1425695,33.987581,-118.189677,38,811.54255777
p_1425695,33.987581,-118.189681,39,811.91215068
p_1425695,33.987564,-118.189511,40,827.73263198
p_1425695,33.987549,-118.189357,41,842.05890876
p_1425695,33.987502,-118.188886,42,885.88965119
p_1425695,33.987474,-118.188622,43,910.47973702
p_1425695,33.987427,-118.188202,44,949.63566438
p_1425695,33.987377,-118.187813,45,986.00402386
p_1425695,33.987309,-118.18768,46,1000.42317473
p_1425695,33.987271,-118.187291,47,1036.6125133
