trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_5368094_b_78015_tn_0,07:00:00,07:00:00,4148553,1,Maywood YMCA,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_5368094_b_78015_tn_0,07:02:00,07:02:00,4148554,2,Maywood YMCA,0,0,811.542557764033,1,,,,,1,1,,,,,,,,,,,
t_5368094_b_78015_tn_0,07:04:00,07:04:00,4148557,3,Maywood YMCA,0,0,1122.69147554069,1,,,,,1,1,,,,,,,,,,,
t_5368094_b_78015_tn_0,07:06:00,07:06:00,4148556,4,Maywood YMCA,0,0,1920.62861146159,1,,,,,1,1,,,,,,,,,,,
t_5368094_b_78015_tn_0,07:08:00,07:08:00,4148558,5,Maywood YMCA,0,0,2767.27490145353,1,,,,,1,1,,,,,,,,,,,
t_5368094_b_78015_tn_0,07:10:00,07:10:00,4148559,6,Maywood YMCA,0,0,3049.84658323742,1,,,,,1,1,,,,,,,,,,,
t_5368094_b_78015_tn_0,07:11:00,07:11:00,4148563,7,Maywood YMCA,0,0,3586.24619857613,1,,,,,1,1,,,,,,,,,,,
t_5368094_b_78015_tn_0,07:12:00,07:12:00,4148561,8,Maywood YMCA,0,0,3855.59833689482,1,,,,,1,1,,,,,,,,,,,
t_5368094_b_78015_tn_0,07:13:00,07:13:00,4148562,9,Maywood YMCA,0,0,4410.53619145259,1,,,,,1,1,,,,,,,,,,,
t_5368094_b_78015_tn_0,07:15:00,07:15:00,4148564,10,Maywood YMCA,0,0,5021.26078861223,1,,,,,1,1,,,,,,,,,,,
t_5368094_b_78015_tn_0,07:17:00,07:17:00,4148565,11,57th / Carmelita,0,0,5551.36599170124,1,,,,,1,1,,,,,,,,,57th / Carmelita,,
t_5368094_b_78015_tn_0,07:19:00,07:19:00,4148566,12,57th / Carmelita,0,0,5795.09667653621,1,,,,,1,1,,,,,,,,,57th / Carmelita,,
t_5368094_b_78015_tn_0,07:21:00,07:21:00,4148567,13,57th / Carmelita,0,0,6164.34371135893,1,,,,,1,1,,,,,,,,,57th / Carmelita,,
t_5368094_b_78015_tn_0,07:23:00,07:23:00,4148568,14,57th / Carmelita,0,0,6572.95507654727,1,,,,,1,1,,,,,,,,,57th / Carmelita,,
t_5368094_b_78015_tn_0,07:25:00,07:25:00,4148569,15,57th / Carmelita,0,0,6815.34419191562,1,,,,,1,1,,,,,,,,,57th / Carmelita,,
t_5368094_b_78015_tn_0,07:27:00,07:27:00,4148570,16,57th / Carmelita,0,0,7132.02057045255,1,,,,,1,1,,,,,,,,,57th / Carmelita,,
t_5368094_b_78015_tn_0,07:29:00,07:29:00,4148571,17,57th / Carmelita,0,0,7536.51050500276,1,,,,,1,1,,,,,,,,,57th / Carmelita,,
t_5368094_b_78015_tn_0,07:31:00,07:31:00,4148573,18,57th / Carmelita,0,0,8163.62851531885,1,,,,,1,1,,,,,,,,,57th / Carmelita,,
t_5368094_b_78015_tn_0,07:32:00,07:32:00,4148574,19,57th / Carmelita,0,0,8437.64702122179,1,,,,,1,1,,,,,,,,,57th / Carmelita,,
t_5368094_b_78015_tn_0,07:33:00,07:33:00,4148575,20,57th / Carmelita,0,0,8838.58310297137,1,,,,,1,1,,,,,,,,,57th / Carmelita,,
t_5368094_b_78015_tn_0,07:34:00,07:34:00,4148577,21,57th / Carmelita,0,0,9647.42561798202,1,,,,,1,1,,,,,,,,,57th / Carmelita,,
t_5368094_b_78015_tn_0,07:36:00,07:36:00,4148553,22,57th / Carmelita,0,0,10115.88054888,1,,,,,1,1,,,,,,,,,57th / Carmelita,,
t_5368095_b_78015_tn_0,07:36:00,07:36:00,4148553,1,Maywood YMCA,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_5368095_b_78015_tn_0,07:38:00,07:38:00,4148554,2,Maywood YMCA,0,0,811.542557764033,1,,,,,1,1,,,,,,,,,,,
t_5368095_b_78015_tn_0,07:40:00,07:40:00,4148557,3,Maywood YMCA,0,0,1122.69147554069,1,,,,,1,1,,,,,,,,,,,
t_5368095_b_78015_tn_0,07:42:00,07:42:00,4148556,4,Maywood YMCA,0,0,1920.62861146159,1,,,,,1,1,,,,,,,,,,,
t_5368095_b_78015_tn_0,07:44:00,07:44:00,4148558,5,Maywood YMCA,0,0,2767.27490145353,1,,,,,1,1,,,,,,,,,,,
t_5368095_b_78015_tn_0,07:45:00,07:45:00,4148559,6,Maywood YMCA,0,0,3049.84658323742,1,,,,,1,1,,,,,,,,,,,
t_5368095_b_78015_tn_0,07:46:00,07:46:00,4148563,7,Maywood YMCA,0,0,3586.24619857613,1,,,,,1,1,,,,,,,,,,,
t_5368095_b_78015_tn_0,07:47:00,07:47:00,4148561,8,Maywood YMCA,0,0,3855.59833689482,1,,,,,1,1,,,,,,,,,,,
t_5368095_b_78015_tn_0,07:48:00,07:48:00,4148562,9,Maywood YMCA,0,0,4410.53619145259,1,,,,,1,1,,,,,,,,,,,
t_5368095_b_78015_tn_0,07:50:00,07:50:00,4148564,10,Maywood YMCA,0,0,5021.26078861223,1,,,,,1,1,,,,,,,,,,,
t_5368095_b_78015_tn_0,07:52:00,07:52:00,4148565,11,57th / Carmelita,0,0,5551.36599170124,1,,,,,1,1,,,,,,,,,57th / Carmelita,,
t_5368095_b_78015_tn_0,07:54:00,07:54:00,4148566,12,57th / Carmelita,0,0,5795.09667653621,1,,,,,1,1,,,,,,,,,57th / Carmelita,,
t_5368095_b_78015_tn_0,07:56:00,07:56:00,4148567,13,57th / Carmelita,0,0,6164.34371135893,1,,,,,1,1,,,,,,,,,57th / Carmelita,,
t_5368095_b_78015_tn_0,07:58:00,07:58:00,4148568,14,57th / Carmelita,0,0,6572.95507654727,1,,,,,1,1,,,,,,,,,57th / Carmelita,,
t_5368095_b_78015_tn_0,08:00:00,08:00:00,4148569,15,57th / Carmelita,0,0,6815.34419191562,1,,,,,1,1,,,,,,,,,57th / Carmelita,,
t_5368095_b_78015_tn_0,08:02:00,08:02:00,4148570,16,57th / Carmelita,0,0,7132.02057045255,1,,,,,1,1,,,,,,,,,57th / Carmelita,,
t_5368095_b_78015_tn_0,08:04:00,08:04:00,4148571,17,57th / Carmelita,0,0,7536.51050500276,1,,,,,1,1,,,,,,,,,57th / Carmelita,,
t_5368095_b_78015_tn_0,08:06:00,08:06:00,4148573,18,57th / Carmelita,0,0,8163.62851531885,1,,,,,1,1,,,,,,,,,57th / Carmelita,,
t_5368095_b_78015_tn_0,08:08:00,08:08:00,4148574,19,57th / Carmelita,0,0,8437.64702122179,1,,,,,1,1,,,,,,,,,57th / Carmelita,,
t_5368095_b_78015_tn_0,08:10:00,08:10:00,4148575,20,57th / Carmelita,0,0,8838.58310297137,1,,,,,1,1,,,,,,,,,57th / Carmelita,,
t_5368095_b_78015_tn_0,08:12:00,08:12:00,4148577,21,57th / Carmelita,0,0,9647.42561798202,1,,,,,1,1,,,,,,,,,57th / Carmelita,,
t_5368095_b_78015_tn_0,08:14:00,08:14:00,4148553,22,57th / Carmelita,0,0,10115.88054888,1,,,,,1,1,,,,,,,,,57th / Carmelita,,
t_5368096_b_78015_tn_0,08:14:00,08:14:00,4148553,1,Maywood YMCA,0,0,0,1,,,,,1,1,,,,,,,,,,,
