stop_id,stop_city
839895,East Los Angeles
840135,Los Angeles
839744,Monterey Park
840009,Los Angeles
839658,Montebello
839990,Los Angeles
839568,Whittier
840215,Montebello
840130,Leffingwell
839536,Springfield
839526,Pico Rivera
839956,La Mirada
839792,Commerce
840155,Pico Rivera
840040,Pico Rivera
840068,Commerce
840175,Pico Rivera
840091,Whittier
839806,Bell Gardens
839765,Monterey Park
839597,Montebello
839564,Whittier
839879,East Los Angeles
839954,La Mirada
839481,Whittier
840192,Pico Rivera
839650,Montebello
839614,Rosemead
839540,Whittier
840067,Los Nietos
840101,Los Angeles
840179,Pico Rivera
839686,San Gabriel
839981,Los Angeles
839727,Commerce
839645,Montebello
840169,Pico Rivera
839940,Los Angeles
840134,La Mirada
840115,Los Angeles
839602,San Gabriel
839749,Montebello
839915,Los Angeles
839670,Rosemead
839479,Whittier
839803,Alhambra
839768,Montebello
839724,Alhambra
839880,Springfield
840138,La Mirada
839687,Springfield
839561,Montebello
839700,Alhambra
839644,Montebello
839773,Monterey Park
839807,Alhambra
840019,Commerce
839550,Whittier
839684,San Gabriel
840224,Montebello
839775,Monterey Park
840162,Springfield
840152,Springfield
839503,Springfield
840021,Commerce
839528,Pico Rivera
839748,Monterey Park
840036,Los Nietos
839811,Alhambra
839769,Monterey Park
839588,Whittier
839729,Commerce
839524,Pico Rivera
839907,Los Angeles
839722,Alhambra
839570,Whittier
839473,Whittier
839962,La Mirada
839560,Springfield
839634,El Monte
840106,Whittier
839818,South Gate
839739,Montebello
839608,San Gabriel
840075,Springfield
840214,Montebello
840218,Montebello
839849,Springfield
840170,Pico Rivera
840008,Whittier
839998,Los Angeles
839770,Montebello
840236,Montebello
839995,Springfield
839869,Montebello
839642,Montebello
840232,Montebello
839796,Commerce
840245,Springfield
839850,Los Angeles
839823,Springfield
840102,Los Angeles
839747,Montebello
839725,Commerce
839967,Los Angeles
839885,East Los Angeles
839887,East Los Angeles
839826,Pico Rivera
839872,Springfield
839585,East Los Angeles
839562,Whittier
839963,Springfield
839648,Montebello
840202,Pico Rivera
839521,Whittier
839555,Montebello
840053,Pico Rivera
839951,Los Angeles
840178,Pico Rivera
839790,Commerce
839484,Commerce
839939,Pico Rivera
840069,Santa Fe Springs
840228,Montebello
839762,Montebello
839471,Whittier
840060,Montebello
839666,Rosemead
840097,Los Angeles
839992,Los Angeles
839969,Los Angeles
839635,Montebello
840114,South Whittier
840003,Los Angeles
840043,Montebello
839802,Commerce
839656,Montebello
840193,Pico Rivera
839625,Montebello
839581,East Los Angeles
839504,Montebello
839746,Monterey Park
839485,Whittier
839671,Montebello
840100,Los Angeles
840029,Commerce
839726,Alhambra
839711,Commerce
839501,Whittier
839545,Montebello
839986,Los Angeles
839889,East Los Angeles
839949,Whittier
840050,Pico Rivera
840122,South Whittier
839853,Montebello
839576,Whittier
840157,Pico Rivera
839831,Los Angeles
839704,Alhambra
839689,San Gabriel
839688,San Gabriel
839565,East Los Angeles
839924,Los Angeles
839945,Whittier
840133,Los Angeles
839955,Los Angeles
839720,Alhambra
839882,East Los Angeles
840248,Montebello
840082,Commerce
839934,Los Angeles
840027,Commerce
839604,San Gabriel
840081,Springfield
840103,Los Angeles
839883,East Los Angeles
839971,Los Angeles
839936,Springfield
839661,El Monte
840239,Montebello
840209,Montebello
840168,Pico Rivera
839500,Montebello
840079,Valla
839572,Whittier
840132,La Mirada
840201,Pico Rivera
839871,Montebello
840200,Pico Rivera
840044,Pico Rivera
840129,Los Angeles
840247,Springfield
839694,Alhambra
840234,Montebello
839543,Montebello
840110,Springfield
839863,Montebello
840014,Whittier
839563,East Los Angeles
839472,East Los Angeles
839505,Whittier
840166,Pico Rivera
840117,Los Angeles
839958,La Mirada
839506,Montebello
839909,Los Angeles
840237,Montebello
839665,Montebello
839663,Montebello
840098,Los Angeles
839904,Montebello
840104,Whittier
839780,East Los Angeles
839965,Springfield
840039,Commerce
839845,Montebello
839758,Monterey Park
840000,Los Angeles
839922,Los Angeles
840085,Whittier
839559,Montebello
839766,Montebello
839745,Montebello
839649,El Monte
839636,El Monte
839756,Monterey Park
840148,La Mirada
839592,San Gabriel
839843,Montebello
840208,Montebello
840211,Montebello
839533,Pico Rivera
840015,Vernon
839732,Alhambra
839854,Los Angeles
839961,Los Angeles
839647,El Monte
840249,Montebello
839467,Whittier
840024,Valla
839978,South Whittier
839488,East Los Angeles
840196,Pico Rivera
840086,Commerce
839903,East Los Angeles
840181,Pico Rivera
839738,Monterey Park
839713,Commerce
839633,Montebello
840141,Springfield
839810,Bell Gardens
839896,Montebello
839615,Montebello
839514,Montebello
839571,Commerce
840126,South Whittier
839554,Springfield
839734,Monterey Park
839996,Los Angeles
839757,Monterey Park
839741,Montebello
839997,Los Angeles
840190,Pico Rivera
839476,East Los Angeles
839875,Montebello
840107,Springfield
840199,Pico Rivera
840071,Santa Fe Springs
840025,Commerce
839600,Springfield
839462,Monterey Park
840005,Los Angeles
840217,Montebello
839948,Los Angeles
840241,Los Angeles
839851,Montebello
839809,Alhambra
839784,Commerce
839672,Springfield
840096,Los Angeles
840204,Pico Rivera
839657,El Monte
839838,Pico Rivera
839683,Montebello
839593,Montebello
840198,Pico Rivera
839800,Commerce
839708,Alhambra
839677,Montebello
839789,Alhambra
839618,Springfield
839599,Montebello
840184,Springfield
839912,Montebello
840035,Commerce
839723,Commerce
839679,Montebello
840207,Springfield
839947,Whittier
839692,San Gabriel
839737,Montebello
839616,Rosemead
840146,La Mirada
839491,Whittier
840046,Springfield
839786,Commerce
840235,Montebello
839774,Montebello
839788,Commerce
840163,Pico Rivera
839490,East Los Angeles
840061,Pico Rivera
839557,Montebello
839535,Springfield
840031,Commerce
839860,Los Angeles
840041,Commerce
840048,Pico Rivera
839929,Montebello
840092,Boyle Heights
839520,Pico Rivera
839825,Springfield
839928,Los Angeles
839518,Pico Rivera
840030,Santa Fe Springs
839925,Montebello
839534,Whittier
839646,Montebello
839900,Montebello
839696,Springfield
839529,Pico Rivera
839839,Los Angeles
839589,East Los Angeles
839558,Whittier
839988,Los Angeles
839972,Leffingwell
840145,La Mirada
839841,Montebello
839836,Pico Rivera
839735,Montebello
839716,Alhambra
840213,Montebello
839815,Alhambra
839721,Commerce
840173,Pico Rivera
840123,Springfield
839715,Commerce
840136,La Mirada
839787,Alhambra
839673,Montebello
839994,Los Angeles
839906,Montebello
839916,Montebello
839676,Rosemead
839497,Whittier
839640,Montebello
839705,Bell Gardens
839764,Montebello
839920,Los Angeles
839706,Alhambra
840032,Santa Fe Springs
839902,Montebello
839829,Los Angeles
839832,Pico Rivera
839991,Whittier
839507,Whittier
839702,Alhambra
839483,Whittier
839574,Whittier
839643,Montebello
839538,Whittier
839522,Pico Rivera
839579,East Los Angeles
839759,Monterey Park
839517,Whittier
840078,Commerce
839760,Montebello
840049,Montebello
839653,El Monte
840197,Pico Rivera
