trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
Beach-Shuttle_Loop-FSa_1_10:15,10:15:00,10:15:00,2696116,1,Marina Del Mar,0,0,0,1,,,,,1,1,,,,,,,,,,,
Beach-Shuttle_Loop-FSa_1_10:15,,,2696117,2,Marina Del Mar,0,0,217.664460731081,0,,,,,1,1,,,,,,,,,,,
Beach-Shuttle_Loop-FSa_1_10:15,,,2696171,3,Marina Del Mar,0,0,601.282315484265,0,,,,,1,1,,,,,,,,,,,
Beach-Shuttle_Loop-FSa_1_10:15,,,2696153,4,Marina Del Mar,0,0,937.264413735326,0,,,,,1,1,,,,,,,,,,,
Beach-Shuttle_Loop-FSa_1_10:15,,,2696135,5,Marina Del Mar,0,0,2462.92050226857,0,,,,,1,1,,,,,,,,,,,
Beach-Shuttle_Loop-FSa_1_10:15,,,2696144,6,Marina Del Mar,0,0,2841.55637769004,0,,,,,1,1,,,,,,,,,,,
Beach-Shuttle_Loop-FSa_1_10:15,,,2696155,7,Marina Del Mar,0,0,3236.59568617157,0,,,,,1,1,,,,,,,,,,,
Beach-Shuttle_Loop-FSa_1_10:15,,,2696133,8,Marina Del Mar,0,0,4831.11349444884,0,,,,,1,1,,,,,,,,,,,
Beach-Shuttle_Loop-FSa_1_10:15,10:28:00,10:28:00,2696162,9,Marina Del Mar,0,0,5676.63085579581,1,,,,,1,1,,,,,,,,,,,
Beach-Shuttle_Loop-FSa_1_10:15,10:31:00,10:31:00,2696139,10,Marina Del Mar,0,0,7269.53096531636,1,,,,,1,1,,,,,,,,,,,
Beach-Shuttle_Loop-FSa_1_10:15,,,2696125,11,Marina Del Mar,0,0,7778.66490454422,0,,,,,1,1,,,,,,,,,,,
Beach-Shuttle_Loop-FSa_1_10:15,10:34:00,10:34:00,2696132,12,Marina Del Mar,0,0,8252.5734082736,1,,,,,1,1,,,,,,,,,,,
Beach-Shuttle_Loop-FSa_1_10:15,,,2696152,13,Marina Del Mar,0,0,8849.63281764544,0,,,,,1,1,,,,,,,,,,,
Beach-Shuttle_Loop-FSa_1_10:15,,,2696119,14,Marina Del Mar,0,0,9149.65893642986,0,,,,,1,1,,,,,,,,,,,
Beach-Shuttle_Loop-FSa_1_10:15,10:37:00,10:37:00,2696120,15,Marina Del Mar,0,0,9423.77360138883,1,,,,,1,1,,,,,,,,,,,
Beach-Shuttle_Loop-FSa_1_10:15,,,2696136,16,Marina Del Mar,0,0,9803.18651984447,0,,,,,1,1,,,,,,,,,,,
Beach-Shuttle_Loop-FSa_1_10:15,10:40:00,10:40:00,2696122,17,Pacific Promenade ,0,0,10049.0775026856,1,,,,,1,1,,,,,,,,,,,
Beach-Shuttle_Loop-FSa_1_10:15,,,2696130,18,Pacific Promenade ,0,0,10298.9891327243,0,,,,,1,1,,,,,,,,,,,
Beach-Shuttle_Loop-FSa_1_10:15,,,2696145,19,Pacific Promenade ,0,0,10639.875436621,0,,,,,1,1,,,,,,,,,,,
Beach-Shuttle_Loop-FSa_1_10:15,,,2696126,20,Pacific Promenade ,0,0,11010.4300252933,0,,,,,1,1,,,,,,,,,,,
