shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_901560,34.0748498768541,-118.070142113675,1,0
p_901560,34.0748517050143,-118.069805162106,2,31.10252942
p_901560,34.0757061980529,-118.06982381307,3,125.90173139
p_901560,34.0756649188687,-118.073143305743,4,432.33431164
p_901560,34.0741543954258,-118.073105181924,5,599.92416973
p_901560,34.071506685877,-118.073090034501,6,893.62124333
p_901560,34.0706179270799,-118.072914304119,7,993.53126032
p_901560,34.0702173648522,-118.072746013261,8,1040.60050094
p_901560,34.0697291143831,-118.072449396216,9,1101.28684834
p_901560,34.069256295234,-118.072028519316,10,1166.55601368
p_901560,34.0637205745426,-118.066230633408,11,1981.11521986
p_901560,34.0634795657361,-118.0660095992,12,2014.74623687
p_901560,34.0627729156259,-118.065560285817,13,2103.42868859
p_901560,34.0627708490554,-118.071565290037,14,2657.79136099
p_901560,34.0627711627915,-118.071570235138,15,2658.24920124
p_901560,34.0627401600137,-118.076723604284,16,3134.00414239
p_901560,34.0627361429654,-118.082047755294,17,3625.51299139
p_901560,34.0622976598479,-118.082037008166,18,3674.16119841
p_901560,34.0622972702976,-118.08203663012,19,3674.21674256
p_901560,34.0617049853766,-118.082017185956,20,3739.93958062
p_901560,34.060597861045,-118.08202075742,21,3862.74611908
p_901560,34.0597241459667,-118.082015068696,22,3959.66305302
p_901560,34.0590638162942,-118.082022353834,23,4032.91219233
p_901560,34.0590595845955,-118.08276555417,24,4101.52664611
p_901560,34.0590595845955,-118.083222711764,25,4143.73180118
p_901560,34.0590502072752,-118.087022685453,26,4494.54997529
p_901560,34.0590438198284,-118.087090400575,27,4500.84151239
p_901560,34.0589883298677,-118.087168754018,28,4510.33948622
p_901560,34.0589213230757,-118.08718644673,29,4517.94947497
p_901560,34.0577910500601,-118.087180390293,30,4643.32449335
p_901560,34.0566797507405,-118.087181389241,31,4766.59364926
p_901560,34.0566731412628,-118.087180221669,32,4767.33467717
p_901560,34.055824,-118.087158,33,4861.54665583
p_901560,34.055717,-118.087143,34,4873.49597967
p_901560,34.055611,-118.08712,35,4885.4440685
p_901560,34.055523,-118.087082,36,4895.81665611
p_901560,34.055462,-118.087036,37,4903.80537514
p_901560,34.055393,-118.086952,38,4914.70141438
p_901560,34.055359,-118.086884,39,4922.02519654
p_901560,34.055332,-118.086784,40,4931.73129522
p_901560,34.055325,-118.086662,41,4943.02165762
p_901560,34.05534,-118.086075,42,4997.24187472
p_901560,34.05534,-118.086014,43,5002.87368955
p_901560,34.055344,-118.085815,44,5021.25168768
p_901560,34.055359,-118.085022,45,5094.48417442
p_901560,34.055367,-118.084297,46,5161.42554237
p_901560,34.055367,-118.084236,47,5167.05735541
p_901560,34.055374,-118.083382,48,5245.90655793
p_901560,34.055386,-118.082428,49,5333.99446489
p_901560,34.055397,-118.081985,50,5374.91253757
p_901560,34.054398,-118.081985,51,5485.72499215
p_901560,34.05407,-118.08197,52,5522.13420413
p_901560,34.05357,-118.081978,53,5577.60080139
p_901560,34.05294,-118.08197,54,5647.4864141
p_901560,34.052116,-118.08197,55,5738.88724224
p_901560,34.05175,-118.081963,56,5779.49032302
p_901560,34.05172,-118.081963,57,5782.81802264
p_901560,34.051723,-118.082741,58,5854.65056559
p_901560,34.051703500876,-118.083783761542,59,5950.95174323
p_901560,34.0516641963819,-118.084179083767,60,5987.71082881
p_901560,34.0516613281652,-118.084718517354,61,6037.51711138
p_901560,34.0513455814086,-118.084712192198,62,6072.54565734
p_901560,34.0509398598787,-118.08469623645,63,6117.57373796
p_901560,34.0509497961431,-118.084695501584,64,6118.67798773
p_901560,34.0505637692686,-118.084655499114,65,6161.65635804
