shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_1274268,34.161959,-118.040286,1,0
p_1274268,34.161953,-118.040805,2,47.86114394
p_1274268,34.161949,-118.041085,3,73.68350213
p_1274268,34.161954,-118.041885,4,147.45286065
p_1274268,34.161914,-118.044439,5,382.9967244
p_1274268,34.161913,-118.044759,6,412.50385554
p_1274268,34.161913,-118.044943,7,429.47033616
p_1274268,34.162751,-118.044936,8,522.42799651
p_1274268,34.163562,-118.044936,9,612.38844434
p_1274268,34.164113,-118.044943,10,673.5117195
p_1274268,34.164355,-118.044946,11,700.35708084
p_1274268,34.164457,-118.044946,12,711.67146746
p_1274268,34.165603,-118.044947,13,838.7919753
p_1274268,34.165842,-118.044946,14,865.30330215
p_1274268,34.166821,-118.044937,15,973.90243335
p_1274268,34.16682,-118.045192,16,997.41466358
p_1274268,34.166814,-118.047943,17,1251.06819639
p_1274268,34.166813,-118.048175,18,1272.45976697
p_1274268,34.168141,-118.048175,19,1419.76871761
p_1274268,34.168839,-118.048179,20,1497.19554821
p_1274268,34.169335,-118.048179,21,1552.21456833
p_1274268,34.169419,-118.048207,22,1561.88333464
p_1274268,34.169458,-118.048288,23,1570.51410746
p_1274268,34.169452,-118.048822,24,1619.75390431
p_1274268,34.169448,-118.049149,25,1649.90687616
p_1274268,34.169437,-118.050069,26,1734.74052327
p_1274268,34.169416,-118.052256,27,1936.39748791
p_1274268,34.169273,-118.052262,28,1952.26947077
p_1274268,34.168342,-118.0523,29,2055.60047095
p_1274268,34.168113,-118.052318,30,2081.0565528
p_1274268,34.167782,-118.052334,31,2117.8024931
p_1274268,34.166785,-118.052381,32,2228.48000027
p_1274268,34.166784,-118.052718,33,2259.55289149
p_1274268,34.166782,-118.053128,34,2297.35711648
p_1274268,34.166773,-118.055018,35,2471.62524326
p_1274268,34.166754,-118.05665,36,2622.11670198
p_1274268,34.166747,-118.057147,37,2667.94860553
p_1274268,34.16675,-118.05766,38,2715.25036481
p_1274268,34.16675,-118.057925,39,2739.68439168
p_1274268,34.166733,-118.05962,40,2895.98135157
p_1274268,34.166731,-118.059852,41,2917.37380549
p_1274268,34.166727,-118.060948,42,3018.43025156
p_1274268,34.166724,-118.061113,43,3033.64753439
p_1274268,34.166719,-118.062252,44,3138.6692478
p_1274268,34.166718,-118.062448,45,3156.74155444
p_1274268,34.166724,-118.063149,46,3221.37991944
p_1274268,34.16672,-118.063364,47,3241.208724
p_1274268,34.166709,-118.064431,48,3339.59786614
p_1274268,34.166706,-118.06472,49,3366.24687719
p_1274268,34.166695,-118.065803,50,3466.11118666
p_1274268,34.166692,-118.067702,51,3641.20677812
p_1274268,34.166691,-118.068108,52,3678.64174153
p_1274268,34.166254,-118.068107,53,3727.11622747
p_1274268,34.166094,-118.068105,54,3744.86524805
p_1274268,34.165538,-118.068105,55,3806.53976187
p_1274268,34.164595,-118.068088,56,3911.15413073
p_1274268,34.164241,-118.068081,57,3950.42701217
p_1274268,34.16407,-118.068079,58,3969.39614422
p_1274268,34.163117,-118.068069,59,4075.11201869
p_1274268,34.162973,-118.068066,60,4091.08766194
p_1274268,34.162724,-118.06806,61,4118.71360967
p_1274268,34.162686,-118.068059,62,4122.92978057
p_1274268,34.161924,-118.06804,63,4207.47302986
p_1274268,34.16166,-118.068039,64,4236.75745732
