,trip_id,stop_sequence,stop_id,route_code
0,60169001431509-JUNE23,134,5505,169.0
1,60169001481441-JUNE23,134,30021,169.0
2,10169001481303-JUNE23,134,30021,169.0
3,10169001481206-JUNE23,134,30021,169.0
4,10169001481108-JUNE23,134,30021,169.0
5,10169001481010-JUNE23,134,30021,169.0
6,10169001480907-JUNE23,134,30021,169.0
7,10169001480802-JUNE23,134,30021,169.0
8,10169001480702-JUNE23,134,30021,169.0
9,10169001480606-JUNE23,134,30021,169.0
10,10169001431743-JUNE23,134,5505,169.0
11,10169001431638-JUNE23,134,5505,169.0
12,10169001431533-JUNE23,134,5505,169.0
13,10169001431438-JUNE23,134,5505,169.0
14,10169001431334-JUNE23,134,5505,169.0
15,10169001431237-JUNE23,134,5505,169.0
16,10169001431133-JUNE23,134,5505,169.0
17,10169001431032-JUNE23,134,5505,169.0
18,10169001430932-JUNE23,134,5505,169.0
19,10169001430828-JUNE23,134,5505,169.0
20,10169001430730-JUNE23,134,5505,169.0
21,10169001430631-JUNE23,134,5505,169.0
22,10169001430533-JUNE23,134,5505,169.0
23,70169001430710-JUNE23,134,5505,169.0
24,70169001430809-JUNE23,134,5505,169.0
25,70169001430909-JUNE23,134,5505,169.0
26,70169001431009-JUNE23,134,5505,169.0
27,70169001431109-JUNE23,134,5505,169.0
28,70169001431209-JUNE23,134,5505,169.0
29,60169001481544-JUNE23,134,30021,169.0
30,60169001481342-JUNE23,134,30021,169.0
31,70169001431509-JUNE23,134,5505,169.0
32,60169001481244-JUNE23,134,30021,169.0
33,60169001430612-JUNE23,134,5505,169.0
34,60169001430710-JUNE23,134,5505,169.0
35,60169001430809-JUNE23,134,5505,169.0
36,60169001430909-JUNE23,134,5505,169.0
37,60169001431009-JUNE23,134,5505,169.0
38,60169001431109-JUNE23,134,5505,169.0
39,60169001431209-JUNE23,134,5505,169.0
40,60169001431309-JUNE23,134,5505,169.0
41,60169001431409-JUNE23,134,5505,169.0
42,60169001431611-JUNE23,134,5505,169.0
43,60169001431713-JUNE23,134,5505,169.0
44,60169001480648-JUNE23,134,30021,169.0
45,60169001480747-JUNE23,134,30021,169.0
46,60169001480848-JUNE23,134,30021,169.0
47,60169001481644-JUNE23,134,30021,169.0
48,60169001481744-JUNE23,134,30021,169.0
49,60169001481848-JUNE23,134,30021,169.0
50,60169001480947-JUNE23,134,30021,169.0
51,10169001481911-JUNE23,134,30021,169.0
52,10169001481815-JUNE23,134,30021,169.0
53,10169001481715-JUNE23,134,30021,169.0
54,10169001481614-JUNE23,134,30021,169.0
55,10169001481538-JUNE23,134,30021,169.0
56,10169001481501-JUNE23,134,30021,169.0
57,10169001481402-JUNE23,134,30021,169.0
58,60169001481047-JUNE23,134,30021,169.0
59,60169001481146-JUNE23,134,30021,169.0
60,70169001431409-JUNE23,134,5505,169.0
61,70169001431309-JUNE23,134,5505,169.0
62,70169001481744-JUNE23,134,30021,169.0
63,70169001480848-JUNE23,134,30021,169.0
64,70169001481848-JUNE23,134,30021,169.0
65,70169001481441-JUNE23,134,30021,169.0
66,70169001481342-JUNE23,134,30021,169.0
67,70169001481244-JUNE23,134,30021,169.0
68,70169001481146-JUNE23,134,30021,169.0
69,70169001481047-JUNE23,134,30021,169.0
70,70169001480947-JUNE23,134,30021,169.0
71,70169001480747-JUNE23,134,30021,169.0
72,70169001481644-JUNE23,134,30021,169.0
73,70169001480648-JUNE23,134,30021,169.0
74,70169001431713-JUNE23,134,5505,169.0
75,70169001431611-JUNE23,134,5505,169.0
76,70169001481544-JUNE23,134,30021,169.0
77,10090003591208-JUNE23,122,30001,90.0
78,70090003591344-JUNE23,122,30001,90.0
79,70090003591415-JUNE23,122,30001,90.0
80,70090003591445-JUNE23,122,30001,90.0
81,70090003592016-JUNE23,122,30001,90.0
82,70090003591545-JUNE23,122,30001,90.0
83,10090003591506-JUNE23,122,30001,90.0
84,10090003591704-JUNE23,122,30001,90.0
85,10090003591644-JUNE23,122,30001,90.0
86,10090003591624-JUNE23,122,30001,90.0
87,10090003591604-JUNE23,122,30001,90.0
88,10090003591545-JUNE23,122,30001,90.0
89,10090003591525-JUNE23,122,30001,90.0
90,10090003591446-JUNE23,122,30001,90.0
91,10090003591228-JUNE23,122,30001,90.0
92,10090003591426-JUNE23,122,30001,90.0
93,10090003591406-JUNE23,122,30001,90.0
94,10090003591347-JUNE23,122,30001,90.0
95,10090003591327-JUNE23,122,30001,90.0
96,10090003591307-JUNE23,122,30001,90.0
97,10090003591248-JUNE23,122,30001,90.0
98,70090003591515-JUNE23,122,30001,90.0
99,70090003591615-JUNE23,122,30001,90.0
100,70090003591931-JUNE23,122,30001,90.0
101,10090003590651-JUNE23,122,30001,90.0
102,10090003590613-JUNE23,122,30001,90.0
103,10090003590555-JUNE23,122,30001,90.0
104,10090003590537-JUNE23,122,30001,90.0
105,10090003590517-JUNE23,122,30001,90.0
106,10090003590454-JUNE23,122,30001,90.0
107,10090003591808-JUNE23,122,30001,90.0
108,10090003591830-JUNE23,122,30001,90.0
109,10090003591851-JUNE23,122,30001,90.0
110,10090003591913-JUNE23,122,30001,90.0
111,10090003591938-JUNE23,122,30001,90.0
112,10090003591747-JUNE23,122,30001,90.0
113,10090003592007-JUNE23,122,30001,90.0
114,10090003592037-JUNE23,122,30001,90.0
115,70090003591817-JUNE23,122,30001,90.0
116,70090003591853-JUNE23,122,30001,90.0
117,10090003590631-JUNE23,122,30001,90.0
118,10090003590710-JUNE23,122,30001,90.0
119,70090003591646-JUNE23,122,30001,90.0
120,10090003590729-JUNE23,122,30001,90.0
121,70090003591716-JUNE23,122,30001,90.0
122,10090003591148-JUNE23,122,30001,90.0
123,10090003591128-JUNE23,122,30001,90.0
124,10090003591108-JUNE23,122,30001,90.0
125,10090003591049-JUNE23,122,30001,90.0
126,10090003591029-JUNE23,122,30001,90.0
127,10090003591009-JUNE23,122,30001,90.0
128,10090003590949-JUNE23,122,30001,90.0
129,10090003590929-JUNE23,122,30001,90.0
130,10090003590909-JUNE23,122,30001,90.0
131,70090003591746-JUNE23,122,30001,90.0
132,10090003590850-JUNE23,122,30001,90.0
133,10090003590830-JUNE23,122,30001,90.0
134,10090003590809-JUNE23,122,30001,90.0
135,10090003590748-JUNE23,122,30001,90.0
136,70090003591314-JUNE23,122,30001,90.0
137,70090003591244-JUNE23,122,30001,90.0
138,70090003591215-JUNE23,122,30001,90.0
139,60090003591214-JUNE23,122,30001,90.0
140,60090003590553-JUNE23,122,30001,90.0
141,60090003590621-JUNE23,122,30001,90.0
142,70090003591145-JUNE23,122,30001,90.0
143,60090003590651-JUNE23,122,30001,90.0
144,60090003590720-JUNE23,122,30001,90.0
145,60090003590749-JUNE23,122,30001,90.0
146,60090003590818-JUNE23,122,30001,90.0
147,60090003590848-JUNE23,122,30001,90.0
148,60090003590916-JUNE23,122,30001,90.0
149,60090003590945-JUNE23,122,30001,90.0
150,60090003591015-JUNE23,122,30001,90.0
151,60090003591045-JUNE23,122,30001,90.0
152,60090003591115-JUNE23,122,30001,90.0
153,60090003591144-JUNE23,122,30001,90.0
154,60090003591244-JUNE23,122,30001,90.0
155,60090003590454-JUNE23,122,30001,90.0
156,60090003591314-JUNE23,122,30001,90.0
157,60090003591344-JUNE23,122,30001,90.0
158,60090003591414-JUNE23,122,30001,90.0
159,60090003591444-JUNE23,122,30001,90.0
160,60090003591514-JUNE23,122,30001,90.0
161,60090003591544-JUNE23,122,30001,90.0
162,60090003591615-JUNE23,122,30001,90.0
163,60090003591645-JUNE23,122,30001,90.0
164,60090003591715-JUNE23,122,30001,90.0
165,60090003591747-JUNE23,122,30001,90.0
166,60090003591817-JUNE23,122,30001,90.0
167,60090003591853-JUNE23,122,30001,90.0
168,60090003591931-JUNE23,122,30001,90.0
169,60090003592017-JUNE23,122,30001,90.0
170,60090003590524-JUNE23,122,30001,90.0
171,10090003591726-JUNE23,122,30001,90.0
172,70090003591016-JUNE23,122,30001,90.0
173,70090003590847-JUNE23,122,30001,90.0
174,70090003590453-JUNE23,122,30001,90.0
175,70090003590523-JUNE23,122,30001,90.0
176,70090003591115-JUNE23,122,30001,90.0
177,70090003591046-JUNE23,122,30001,90.0
178,70090003590946-JUNE23,122,30001,90.0
179,70090003590916-JUNE23,122,30001,90.0
180,70090003590818-JUNE23,122,30001,90.0
181,70090003590749-JUNE23,122,30001,90.0
182,70090003590720-JUNE23,122,30001,90.0
183,70090003590651-JUNE23,122,30001,90.0
184,70090003590621-JUNE23,122,30001,90.0
185,70090003590552-JUNE23,122,30001,90.0
186,10108004190927-JUNE23,121,8245,108.0
187,10108004191047-JUNE23,121,8245,108.0
188,10108004191127-JUNE23,121,8245,108.0
189,10108004191216-JUNE23,121,8245,108.0
190,10108004191009-JUNE23,121,8245,108.0
191,70108004190716-JUNE23,121,8245,108.0
192,10108004190848-JUNE23,121,8245,108.0
193,10108004190808-JUNE23,121,8245,108.0
194,10108004191350-JUNE23,121,8245,108.0
195,10092002750531-JUNE23,121,30015,92.0
196,10092002751810-JUNE23,121,30015,92.0
197,10108004191255-JUNE23,121,8245,108.0
198,10108004191626-JUNE23,121,8245,108.0
199,70108004190813-JUNE23,121,8245,108.0
200,10108004191723-JUNE23,121,8245,108.0
201,60108004192003-JUNE23,121,8245,108.0
202,60108004191844-JUNE23,121,8245,108.0
203,60108004191756-JUNE23,121,8245,108.0
204,60108004191605-JUNE23,121,8245,108.0
205,60108004191503-JUNE23,121,8245,108.0
206,60108004191403-JUNE23,121,8245,108.0
207,60108004191303-JUNE23,121,8245,108.0
208,60108004191204-JUNE23,121,8245,108.0
209,60108004191102-JUNE23,121,8245,108.0
210,60108004191004-JUNE23,121,8245,108.0
211,60108004190908-JUNE23,121,8245,108.0
212,60108004190809-JUNE23,121,8245,108.0
213,60108004190710-JUNE23,121,8245,108.0
214,60108004190625-JUNE23,121,8245,108.0
215,60108004190540-JUNE23,121,8245,108.0
216,60092002752009-JUNE23,121,30015,92.0
217,60092002751918-JUNE23,121,30015,92.0
218,60092002750529-JUNE23,121,30015,92.0
219,10108004192003-JUNE23,121,8245,108.0
220,10108004191901-JUNE23,121,8245,108.0
221,10108004191812-JUNE23,121,8245,108.0
222,10092002751842-JUNE23,121,30015,92.0
223,10092002751916-JUNE23,121,30015,92.0
224,10092002752011-JUNE23,121,30015,92.0
225,70108004191610-JUNE23,121,8245,108.0
226,70092002752009-JUNE23,121,30015,92.0
227,70092002751918-JUNE23,121,30015,92.0
228,70092002750529-JUNE23,121,30015,92.0
229,70108004190548-JUNE23,121,8245,108.0
230,70108004190632-JUNE23,121,8245,108.0
231,70108004191845-JUNE23,121,8245,108.0
232,70108004191755-JUNE23,121,8245,108.0
233,70108004192004-JUNE23,121,8245,108.0
234,70108004191508-JUNE23,121,8245,108.0
235,70108004191407-JUNE23,121,8245,108.0
236,70108004191307-JUNE23,121,8245,108.0
